System Uptime[ms] 16891,System VBATTcell0[V] 3.89,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.43,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.98,Airdata VTAS[m/s] 2.96,BMP280_0 P[Pa] 99916.40, BMP280_0 Tpackage[C] 13.73, HTU21DF_0 RH[%] 85.41, HTU21DF_0 Tpackage[C] 12.48, D6F-PH0025AD1_0 q[Pa] 3.97, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 5.85, D6F-PH0025AD1_1 Tpackage[C] 11.00, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.10, MPU6050_0 roll[deg] -0.80, VL53L1X_0 s[m] 0.09, ;
System Uptime[ms] 17563,System VBATTcell0[V] 3.89,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.43,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.80,Airdata VTAS[m/s] 2.77,BMP280_0 P[Pa] 99911.47, BMP280_0 Tpackage[C] 13.73, HTU21DF_0 RH[%] 85.47, HTU21DF_0 Tpackage[C] 12.48, D6F-PH0025AD1_0 q[Pa] 2.95, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 3.44, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.07, MPU6050_0 roll[deg] -1.01, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 18199,System VBATTcell0[V] 3.89,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.44,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.48,Airdata VTAS[m/s] 2.46,BMP280_0 P[Pa] 99915.68, BMP280_0 Tpackage[C] 13.74, HTU21DF_0 RH[%] 85.48, HTU21DF_0 Tpackage[C] 12.48, D6F-PH0025AD1_0 q[Pa] 2.52, D6F-PH0025AD1_0 Tpackage[C] 10.40, D6F-PH0025AD1_1 q[Pa] 2.10, D6F-PH0025AD1_1 Tpackage[C] 11.00, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.04, MPU6050_0 roll[deg] -1.17, VL53L1X_0 s[m] 0.07, ;
System Uptime[ms] 18838,System VBATTcell0[V] 3.89,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.44,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.43,Airdata VTAS[m/s] 2.41,BMP280_0 P[Pa] 99914.70, BMP280_0 Tpackage[C] 13.74, HTU21DF_0 RH[%] 85.42, HTU21DF_0 Tpackage[C] 12.49, D6F-PH0025AD1_0 q[Pa] 3.92, D6F-PH0025AD1_0 Tpackage[C] 10.40, D6F-PH0025AD1_1 q[Pa] 3.49, D6F-PH0025AD1_1 Tpackage[C] 11.00, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.05, MPU6050_0 roll[deg] -1.45, VL53L1X_0 s[m] 0.07, ;
System Uptime[ms] 19476,System VBATTcell0[V] 3.89,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.44,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.47,Airdata VTAS[m/s] 2.45,BMP280_0 P[Pa] 99913.97, BMP280_0 Tpackage[C] 13.74, HTU21DF_0 RH[%] 85.29, HTU21DF_0 Tpackage[C] 12.49, D6F-PH0025AD1_0 q[Pa] 3.97, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 4.18, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.04, MPU6050_0 roll[deg] -1.45, VL53L1X_0 s[m] 0.07, ;
System Uptime[ms] 20115,System VBATTcell0[V] 3.89,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.44,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.64,Airdata VTAS[m/s] 2.62,BMP280_0 P[Pa] 99913.48, BMP280_0 Tpackage[C] 13.74, HTU21DF_0 RH[%] 85.18, HTU21DF_0 Tpackage[C] 12.49, D6F-PH0025AD1_0 q[Pa] 5.71, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 5.22, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.02, MPU6050_0 roll[deg] -1.56, VL53L1X_0 s[m] 0.07, ;
System Uptime[ms] 20754,System VBATTcell0[V] 3.89,System VBATTcell1[V] 3.85,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.45,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.66,Airdata VTAS[m/s] 2.64,BMP280_0 P[Pa] 99915.52, BMP280_0 Tpackage[C] 13.75, HTU21DF_0 RH[%] 85.02, HTU21DF_0 Tpackage[C] 12.50, D6F-PH0025AD1_0 q[Pa] 4.36, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 3.73, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.00, MPU6050_0 roll[deg] -1.45, VL53L1X_0 s[m] 0.07, ;
System Uptime[ms] 21393,System VBATTcell0[V] 3.89,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.45,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.63,Airdata VTAS[m/s] 2.61,BMP280_0 P[Pa] 99915.20, BMP280_0 Tpackage[C] 13.75, HTU21DF_0 RH[%] 84.80, HTU21DF_0 Tpackage[C] 12.51, D6F-PH0025AD1_0 q[Pa] 4.46, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 3.09, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.01, MPU6050_0 roll[deg] -1.45, VL53L1X_0 s[m] 0.07, ;
System Uptime[ms] 22056,System VBATTcell0[V] 3.89,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.44,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.49,Airdata VTAS[m/s] 2.47,BMP280_0 P[Pa] 99914.84, BMP280_0 Tpackage[C] 13.74, HTU21DF_0 RH[%] 84.51, HTU21DF_0 Tpackage[C] 12.51, D6F-PH0025AD1_0 q[Pa] 2.42, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 3.38, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.01, MPU6050_0 roll[deg] -1.64, VL53L1X_0 s[m] 0.07, ;
System Uptime[ms] 22690,System VBATTcell0[V] 3.89,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.44,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.46,Airdata VTAS[m/s] 2.43,BMP280_0 P[Pa] 99915.17, BMP280_0 Tpackage[C] 13.74, HTU21DF_0 RH[%] 84.32, HTU21DF_0 Tpackage[C] 12.52, D6F-PH0025AD1_0 q[Pa] 3.54, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 3.14, D6F-PH0025AD1_1 Tpackage[C] 11.40, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.02, MPU6050_0 roll[deg] -1.71, VL53L1X_0 s[m] 0.07, ;
System Uptime[ms] 23329,System VBATTcell0[V] 3.89,System VBATTcell1[V] 3.85,System VBATTcell2[V] 3.77,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.45,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.42,Airdata VTAS[m/s] 2.39,BMP280_0 P[Pa] 99913.77, BMP280_0 Tpackage[C] 13.75, HTU21DF_0 RH[%] 84.18, HTU21DF_0 Tpackage[C] 12.52, D6F-PH0025AD1_0 q[Pa] 3.40, D6F-PH0025AD1_0 Tpackage[C] 10.80, D6F-PH0025AD1_1 q[Pa] 2.99, D6F-PH0025AD1_1 Tpackage[C] 11.40, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.03, MPU6050_0 roll[deg] -1.81, VL53L1X_0 s[m] 0.07, ;
