System Uptime[ms] 14701,System VBATTcell0[V] 3.89,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 4.54,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 3.92,Airdata VTAS[m/s] 3.88,BMP280_0 P[Pa] 99920.84, BMP280_0 Tpackage[C] 12.84, HTU21DF_0 RH[%] 84.88, HTU21DF_0 Tpackage[C] 11.42, D6F-PH0025AD1_0 q[Pa] 8.08, D6F-PH0025AD1_0 Tpackage[C] 9.90, D6F-PH0025AD1_1 q[Pa] 8.45, D6F-PH0025AD1_1 Tpackage[C] 10.60, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 15378,System VBATTcell0[V] 3.89,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 4.55,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 3.58,Airdata VTAS[m/s] 3.55,BMP280_0 P[Pa] 99920.00, BMP280_0 Tpackage[C] 12.85, HTU21DF_0 RH[%] 84.85, HTU21DF_0 Tpackage[C] 11.43, D6F-PH0025AD1_0 q[Pa] 5.95, D6F-PH0025AD1_0 Tpackage[C] 10.10, D6F-PH0025AD1_1 q[Pa] 7.31, D6F-PH0025AD1_1 Tpackage[C] 10.80, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 16014,System VBATTcell0[V] 3.89,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 4.55,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 3.72,Airdata VTAS[m/s] 3.69,BMP280_0 P[Pa] 99923.92, BMP280_0 Tpackage[C] 12.85, HTU21DF_0 RH[%] 84.77, HTU21DF_0 Tpackage[C] 11.44, D6F-PH0025AD1_0 q[Pa] 8.68, D6F-PH0025AD1_0 Tpackage[C] 9.90, D6F-PH0025AD1_1 q[Pa] 10.82, D6F-PH0025AD1_1 Tpackage[C] 10.80, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.19, MPU6050_0 roll[deg] 1.82, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 16647,System VBATTcell0[V] 3.89,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 4.55,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 4.17,Airdata VTAS[m/s] 4.13,BMP280_0 P[Pa] 99919.50, BMP280_0 Tpackage[C] 12.85, HTU21DF_0 RH[%] 84.72, HTU21DF_0 Tpackage[C] 11.43, D6F-PH0025AD1_0 q[Pa] 12.11, D6F-PH0025AD1_0 Tpackage[C] 9.90, D6F-PH0025AD1_1 q[Pa] 13.03, D6F-PH0025AD1_1 Tpackage[C] 10.80, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.18, MPU6050_0 roll[deg] 1.87, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 17286,System VBATTcell0[V] 3.89,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 4.56,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 4.25,Airdata VTAS[m/s] 4.20,BMP280_0 P[Pa] 99923.98, BMP280_0 Tpackage[C] 12.86, HTU21DF_0 RH[%] 84.62, HTU21DF_0 Tpackage[C] 11.44, D6F-PH0025AD1_0 q[Pa] 11.30, D6F-PH0025AD1_0 Tpackage[C] 10.10, D6F-PH0025AD1_1 q[Pa] 9.26, D6F-PH0025AD1_1 Tpackage[C] 10.80, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.17, MPU6050_0 roll[deg] 2.04, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 17924,System VBATTcell0[V] 3.88,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 4.56,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 4.06,Airdata VTAS[m/s] 4.02,BMP280_0 P[Pa] 99918.41, BMP280_0 Tpackage[C] 12.86, HTU21DF_0 RH[%] 84.55, HTU21DF_0 Tpackage[C] 11.46, D6F-PH0025AD1_0 q[Pa] 9.50, D6F-PH0025AD1_0 Tpackage[C] 10.10, D6F-PH0025AD1_1 q[Pa] 8.20, D6F-PH0025AD1_1 Tpackage[C] 10.80, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.18, MPU6050_0 roll[deg] 2.13, VL53L1X_0 s[m] 0.07, ;
System Uptime[ms] 18563,System VBATTcell0[V] 3.88,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 4.56,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 3.66,Airdata VTAS[m/s] 3.63,BMP280_0 P[Pa] 99922.93, BMP280_0 Tpackage[C] 12.86, HTU21DF_0 RH[%] 84.48, HTU21DF_0 Tpackage[C] 11.46, D6F-PH0025AD1_0 q[Pa] 6.87, D6F-PH0025AD1_0 Tpackage[C] 10.10, D6F-PH0025AD1_1 q[Pa] 4.91, D6F-PH0025AD1_1 Tpackage[C] 10.80, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.18, MPU6050_0 roll[deg] 2.20, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 19202,System VBATTcell0[V] 3.89,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 4.56,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 3.19,Airdata VTAS[m/s] 3.16,BMP280_0 P[Pa] 99923.31, BMP280_0 Tpackage[C] 12.86, HTU21DF_0 RH[%] 84.41, HTU21DF_0 Tpackage[C] 11.45, D6F-PH0025AD1_0 q[Pa] 5.41, D6F-PH0025AD1_0 Tpackage[C] 10.10, D6F-PH0025AD1_1 q[Pa] 4.37, D6F-PH0025AD1_1 Tpackage[C] 10.80, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.19, MPU6050_0 roll[deg] 2.24, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 19866,System VBATTcell0[V] 3.89,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 4.57,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.98,Airdata VTAS[m/s] 2.95,BMP280_0 P[Pa] 99920.95, BMP280_0 Tpackage[C] 12.87, HTU21DF_0 RH[%] 84.28, HTU21DF_0 Tpackage[C] 11.47, D6F-PH0025AD1_0 q[Pa] 4.88, D6F-PH0025AD1_0 Tpackage[C] 10.10, D6F-PH0025AD1_1 q[Pa] 5.30, D6F-PH0025AD1_1 Tpackage[C] 11.00, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.20, MPU6050_0 roll[deg] 2.31, VL53L1X_0 s[m] 0.07, ;
System Uptime[ms] 20499,System VBATTcell0[V] 3.88,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 4.57,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 3.09,Airdata VTAS[m/s] 3.06,BMP280_0 P[Pa] 99919.20, BMP280_0 Tpackage[C] 12.87, HTU21DF_0 RH[%] 84.19, HTU21DF_0 Tpackage[C] 11.47, D6F-PH0025AD1_0 q[Pa] 6.06, D6F-PH0025AD1_0 Tpackage[C] 10.10, D6F-PH0025AD1_1 q[Pa] 7.60, D6F-PH0025AD1_1 Tpackage[C] 11.00, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.20, MPU6050_0 roll[deg] 2.36, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 21138,System VBATTcell0[V] 3.88,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 4.58,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 3.01,Airdata VTAS[m/s] 2.98,BMP280_0 P[Pa] 99923.48, BMP280_0 Tpackage[C] 12.88, HTU21DF_0 RH[%] 84.10, HTU21DF_0 Tpackage[C] 11.47, D6F-PH0025AD1_0 q[Pa] 4.25, D6F-PH0025AD1_0 Tpackage[C] 10.10, D6F-PH0025AD1_1 q[Pa] 5.11, D6F-PH0025AD1_1 Tpackage[C] 11.00, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.20, MPU6050_0 roll[deg] 2.38, VL53L1X_0 s[m] 0.08, ;
