System Uptime[ms] 154269,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.24,Airdata T[C] 5.71,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 1.94,Airdata VTAS[m/s] 1.92,BMP280_0 P[Pa] 99916.22, BMP280_0 Tpackage[C] 14.01, HTU21DF_0 RH[%] 84.33, HTU21DF_0 Tpackage[C] 13.31, D6F-PH0025AD1_0 q[Pa] 1.85, D6F-PH0025AD1_0 Tpackage[C] 11.00, D6F-PH0025AD1_1 q[Pa] 1.75, D6F-PH0025AD1_1 Tpackage[C] 11.60, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.05, MPU6050_0 roll[deg] 0.40, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 154941,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.24,Airdata T[C] 5.73,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 1.90,Airdata VTAS[m/s] 1.89,BMP280_0 P[Pa] 99916.75, BMP280_0 Tpackage[C] 14.03, HTU21DF_0 RH[%] 84.49, HTU21DF_0 Tpackage[C] 13.33, D6F-PH0025AD1_0 q[Pa] 2.14, D6F-PH0025AD1_0 Tpackage[C] 11.20, D6F-PH0025AD1_1 q[Pa] 1.66, D6F-PH0025AD1_1 Tpackage[C] 11.80, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.18, MPU6050_0 roll[deg] 0.25, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 155577,System VBATTcell0[V] 3.88,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.24,Airdata T[C] 5.74,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 1.88,Airdata VTAS[m/s] 1.86,BMP280_0 P[Pa] 99921.59, BMP280_0 Tpackage[C] 14.04, HTU21DF_0 RH[%] 84.32, HTU21DF_0 Tpackage[C] 13.33, D6F-PH0025AD1_0 q[Pa] 2.14, D6F-PH0025AD1_0 Tpackage[C] 11.20, D6F-PH0025AD1_1 q[Pa] 1.85, D6F-PH0025AD1_1 Tpackage[C] 11.80, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.17, MPU6050_0 roll[deg] 0.32, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 156216,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.24,Airdata T[C] 5.74,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 1.94,Airdata VTAS[m/s] 1.93,BMP280_0 P[Pa] 99920.95, BMP280_0 Tpackage[C] 14.04, HTU21DF_0 RH[%] 83.65, HTU21DF_0 Tpackage[C] 13.35, D6F-PH0025AD1_0 q[Pa] 3.45, D6F-PH0025AD1_0 Tpackage[C] 11.20, D6F-PH0025AD1_1 q[Pa] 2.70, D6F-PH0025AD1_1 Tpackage[C] 11.60, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.16, MPU6050_0 roll[deg] 0.39, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 156854,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.24,Airdata T[C] 5.75,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.00,Airdata VTAS[m/s] 1.99,BMP280_0 P[Pa] 99916.05, BMP280_0 Tpackage[C] 14.05, HTU21DF_0 RH[%] 83.26, HTU21DF_0 Tpackage[C] 13.34, D6F-PH0025AD1_0 q[Pa] 2.82, D6F-PH0025AD1_0 Tpackage[C] 11.00, D6F-PH0025AD1_1 q[Pa] 3.00, D6F-PH0025AD1_1 Tpackage[C] 11.80, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.16, MPU6050_0 roll[deg] 0.51, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 157493,System VBATTcell0[V] 3.88,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.24,Airdata T[C] 5.76,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.10,Airdata VTAS[m/s] 2.08,BMP280_0 P[Pa] 99916.88, BMP280_0 Tpackage[C] 14.06, HTU21DF_0 RH[%] 82.77, HTU21DF_0 Tpackage[C] 13.36, D6F-PH0025AD1_0 q[Pa] 3.60, D6F-PH0025AD1_0 Tpackage[C] 11.00, D6F-PH0025AD1_1 q[Pa] 3.65, D6F-PH0025AD1_1 Tpackage[C] 11.80, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.17, MPU6050_0 roll[deg] 0.51, VL53L1X_0 s[m] 0.07, ;
System Uptime[ms] 158132,System VBATTcell0[V] 3.88,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.24,Airdata T[C] 5.78,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.19,Airdata VTAS[m/s] 2.17,BMP280_0 P[Pa] 99916.47, BMP280_0 Tpackage[C] 14.08, HTU21DF_0 RH[%] 82.26, HTU21DF_0 Tpackage[C] 13.38, D6F-PH0025AD1_0 q[Pa] 3.50, D6F-PH0025AD1_0 Tpackage[C] 11.00, D6F-PH0025AD1_1 q[Pa] 3.30, D6F-PH0025AD1_1 Tpackage[C] 11.80, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.13, MPU6050_0 roll[deg] 0.66, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 158771,System VBATTcell0[V] 3.88,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.24,Airdata T[C] 5.79,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.27,Airdata VTAS[m/s] 2.26,BMP280_0 P[Pa] 99918.97, BMP280_0 Tpackage[C] 14.09, HTU21DF_0 RH[%] 81.88, HTU21DF_0 Tpackage[C] 13.38, D6F-PH0025AD1_0 q[Pa] 4.13, D6F-PH0025AD1_0 Tpackage[C] 11.20, D6F-PH0025AD1_1 q[Pa] 3.30, D6F-PH0025AD1_1 Tpackage[C] 11.60, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.16, MPU6050_0 roll[deg] 0.76, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 159434,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.24,Airdata T[C] 5.80,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.27,Airdata VTAS[m/s] 2.25,BMP280_0 P[Pa] 99918.84, BMP280_0 Tpackage[C] 14.10, HTU21DF_0 RH[%] 81.55, HTU21DF_0 Tpackage[C] 13.40, D6F-PH0025AD1_0 q[Pa] 3.45, D6F-PH0025AD1_0 Tpackage[C] 11.20, D6F-PH0025AD1_1 q[Pa] 2.11, D6F-PH0025AD1_1 Tpackage[C] 11.80, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.15, MPU6050_0 roll[deg] 0.77, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 160068,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.24,Airdata T[C] 5.82,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.35,Airdata VTAS[m/s] 2.33,BMP280_0 P[Pa] 99917.74, BMP280_0 Tpackage[C] 14.12, HTU21DF_0 RH[%] 81.36, HTU21DF_0 Tpackage[C] 13.43, D6F-PH0025AD1_0 q[Pa] 4.28, D6F-PH0025AD1_0 Tpackage[C] 11.00, D6F-PH0025AD1_1 q[Pa] 4.54, D6F-PH0025AD1_1 Tpackage[C] 11.80, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.14, MPU6050_0 roll[deg] 0.80, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 160707,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.24,Airdata T[C] 5.83,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.36,Airdata VTAS[m/s] 2.34,BMP280_0 P[Pa] 99916.48, BMP280_0 Tpackage[C] 14.13, HTU21DF_0 RH[%] 81.26, HTU21DF_0 Tpackage[C] 13.45, D6F-PH0025AD1_0 q[Pa] 2.97, D6F-PH0025AD1_0 Tpackage[C] 11.00, D6F-PH0025AD1_1 q[Pa] 3.55, D6F-PH0025AD1_1 Tpackage[C] 11.80, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.17, MPU6050_0 roll[deg] 0.87, VL53L1X_0 s[m] 0.08, ;
