System Uptime[ms] 29552,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.45,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.60,Airdata VTAS[m/s] 2.58,BMP280_0 P[Pa] 99934.33, BMP280_0 Tpackage[C] 13.75, HTU21DF_0 RH[%] 83.74, HTU21DF_0 Tpackage[C] 12.29, D6F-PH0025AD1_0 q[Pa] 3.49, D6F-PH0025AD1_0 Tpackage[C] 10.40, D6F-PH0025AD1_1 q[Pa] 3.09, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.10, MPU6050_0 roll[deg] 3.23, VL53L1X_0 s[m] 0.09, ;
System Uptime[ms] 30223,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.47,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.53,Airdata VTAS[m/s] 2.51,BMP280_0 P[Pa] 99943.34, BMP280_0 Tpackage[C] 13.77, HTU21DF_0 RH[%] 84.21, HTU21DF_0 Tpackage[C] 12.31, D6F-PH0025AD1_0 q[Pa] 4.03, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 2.05, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.09, MPU6050_0 roll[deg] 3.44, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 30859,System VBATTcell0[V] 3.86,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.47,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.45,Airdata VTAS[m/s] 2.43,BMP280_0 P[Pa] 99937.99, BMP280_0 Tpackage[C] 13.77, HTU21DF_0 RH[%] 84.06, HTU21DF_0 Tpackage[C] 12.32, D6F-PH0025AD1_0 q[Pa] 3.63, D6F-PH0025AD1_0 Tpackage[C] 10.40, D6F-PH0025AD1_1 q[Pa] 2.30, D6F-PH0025AD1_1 Tpackage[C] 11.00, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.08, MPU6050_0 roll[deg] 3.59, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 31498,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.47,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.21,Airdata VTAS[m/s] 2.19,BMP280_0 P[Pa] 99939.80, BMP280_0 Tpackage[C] 13.77, HTU21DF_0 RH[%] 83.73, HTU21DF_0 Tpackage[C] 12.32, D6F-PH0025AD1_0 q[Pa] 1.84, D6F-PH0025AD1_0 Tpackage[C] 10.40, D6F-PH0025AD1_1 q[Pa] 0.47, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.06, MPU6050_0 roll[deg] 3.58, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 32137,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.47,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 1.99,Airdata VTAS[m/s] 1.97,BMP280_0 P[Pa] 99942.69, BMP280_0 Tpackage[C] 13.77, HTU21DF_0 RH[%] 83.49, HTU21DF_0 Tpackage[C] 12.32, D6F-PH0025AD1_0 q[Pa] 2.37, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 0.56, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.05, MPU6050_0 roll[deg] 3.46, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 32775,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.47,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 1.92,Airdata VTAS[m/s] 1.91,BMP280_0 P[Pa] 99941.05, BMP280_0 Tpackage[C] 13.77, HTU21DF_0 RH[%] 83.22, HTU21DF_0 Tpackage[C] 12.33, D6F-PH0025AD1_0 q[Pa] 2.76, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 1.65, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.08, MPU6050_0 roll[deg] 3.38, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 33414,System VBATTcell0[V] 3.86,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.48,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 1.85,Airdata VTAS[m/s] 1.84,BMP280_0 P[Pa] 99940.98, BMP280_0 Tpackage[C] 13.78, HTU21DF_0 RH[%] 82.94, HTU21DF_0 Tpackage[C] 12.34, D6F-PH0025AD1_0 q[Pa] 2.42, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 0.72, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.14, MPU6050_0 roll[deg] 3.37, VL53L1X_0 s[m] 0.09, ;
System Uptime[ms] 34053,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.48,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 1.54,Airdata VTAS[m/s] 1.53,BMP280_0 P[Pa] 99939.55, BMP280_0 Tpackage[C] 13.78, HTU21DF_0 RH[%] 82.63, HTU21DF_0 Tpackage[C] 12.33, D6F-PH0025AD1_0 q[Pa] 0.34, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 0.00, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.09, MPU6050_0 roll[deg] 3.39, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 34717,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.48,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 1.38,Airdata VTAS[m/s] 1.37,BMP280_0 P[Pa] 99940.92, BMP280_0 Tpackage[C] 13.78, HTU21DF_0 RH[%] 82.36, HTU21DF_0 Tpackage[C] 12.35, D6F-PH0025AD1_0 q[Pa] 0.88, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 1.11, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.03, MPU6050_0 roll[deg] 3.46, VL53L1X_0 s[m] 0.09, ;
System Uptime[ms] 35351,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.48,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 1.41,Airdata VTAS[m/s] 1.40,BMP280_0 P[Pa] 99938.73, BMP280_0 Tpackage[C] 13.78, HTU21DF_0 RH[%] 82.07, HTU21DF_0 Tpackage[C] 12.35, D6F-PH0025AD1_0 q[Pa] 1.65, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 0.81, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.00, MPU6050_0 roll[deg] 3.43, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 35989,System VBATTcell0[V] 3.86,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.49,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 1.44,Airdata VTAS[m/s] 1.43,BMP280_0 P[Pa] 99938.23, BMP280_0 Tpackage[C] 13.79, HTU21DF_0 RH[%] 81.93, HTU21DF_0 Tpackage[C] 12.36, D6F-PH0025AD1_0 q[Pa] 1.74, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 1.30, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.00, MPU6050_0 roll[deg] 3.49, VL53L1X_0 s[m] 0.09, ;
