System Uptime[ms] 59095,System VBATTcell0[V] 4.05,System VBATTcell1[V] 4.00,System VBATTcell2[V] 3.95,Airdata rho[kg/m3] 1.23,Airdata T[C] 9.88,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 0.21,Airdata VTAS[m/s] 0.20,BMP280_0 P[Pa] 100077.27, BMP280_0 Tpackage[C] 18.18, HTU21DF_0 RH[%] 77.37, HTU21DF_0 Tpackage[C] 17.61, D6F-PH0025AD1_0 q[Pa] nan, D6F-PH0025AD1_0 Tpackage[C] nan, D6F-PH0025AD1_1 q[Pa] 0.17, D6F-PH0025AD1_1 Tpackage[C] 17.10, D6F-PH0025AD1_2 q[Pa] 0.00, D6F-PH0025AD1_2 Tpackage[C] 17.30, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 0, GPS_0 latitude[deg] 51.1876564026, GPS_0 longitude[deg] -1.0282599926, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 26, GPS_0 hours[-] 20, GPS_0 minutes[-] 26, GPS_0 seconds[-] 39, ;
System Uptime[ms] 59521,System VBATTcell0[V] 4.05,System VBATTcell1[V] 4.01,System VBATTcell2[V] 3.94,Airdata rho[kg/m3] 1.23,Airdata T[C] 9.90,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 0.21,Airdata VTAS[m/s] 0.20,BMP280_0 P[Pa] 100080.21, BMP280_0 Tpackage[C] 18.20, HTU21DF_0 RH[%] 77.72, HTU21DF_0 Tpackage[C] 17.63, D6F-PH0025AD1_0 q[Pa] nan, D6F-PH0025AD1_0 Tpackage[C] nan, D6F-PH0025AD1_1 q[Pa] 0.00, D6F-PH0025AD1_1 Tpackage[C] 16.90, D6F-PH0025AD1_2 q[Pa] 0.00, D6F-PH0025AD1_2 Tpackage[C] 17.30, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 0, GPS_0 latitude[deg] 51.1876564026, GPS_0 longitude[deg] -1.0282599926, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 26, GPS_0 hours[-] 20, GPS_0 minutes[-] 26, GPS_0 seconds[-] 39, ;
System Uptime[ms] 59909,System VBATTcell0[V] 4.05,System VBATTcell1[V] 4.00,System VBATTcell2[V] 3.96,Airdata rho[kg/m3] 1.23,Airdata T[C] 9.93,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 0.20,Airdata VTAS[m/s] 0.20,BMP280_0 P[Pa] 100078.66, BMP280_0 Tpackage[C] 18.23, HTU21DF_0 RH[%] 78.07, HTU21DF_0 Tpackage[C] 17.65, D6F-PH0025AD1_0 q[Pa] nan, D6F-PH0025AD1_0 Tpackage[C] nan, D6F-PH0025AD1_1 q[Pa] 0.00, D6F-PH0025AD1_1 Tpackage[C] 16.90, D6F-PH0025AD1_2 q[Pa] 0.00, D6F-PH0025AD1_2 Tpackage[C] 17.30, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 0, GPS_0 latitude[deg] 51.1876564026, GPS_0 longitude[deg] -1.0282601118, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 26, GPS_0 hours[-] 20, GPS_0 minutes[-] 26, GPS_0 seconds[-] 40, ;
System Uptime[ms] 60297,System VBATTcell0[V] 4.05,System VBATTcell1[V] 4.01,System VBATTcell2[V] 3.96,Airdata rho[kg/m3] 1.23,Airdata T[C] 9.94,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 0.20,Airdata VTAS[m/s] 0.20,BMP280_0 P[Pa] 100079.11, BMP280_0 Tpackage[C] 18.24, HTU21DF_0 RH[%] 78.19, HTU21DF_0 Tpackage[C] 17.66, D6F-PH0025AD1_0 q[Pa] nan, D6F-PH0025AD1_0 Tpackage[C] nan, D6F-PH0025AD1_1 q[Pa] 0.00, D6F-PH0025AD1_1 Tpackage[C] 17.10, D6F-PH0025AD1_2 q[Pa] 0.00, D6F-PH0025AD1_2 Tpackage[C] 17.30, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 7, GPS_0 latitude[deg] 51.1876564026, GPS_0 longitude[deg] -1.0282601118, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 26, GPS_0 hours[-] 20, GPS_0 minutes[-] 26, GPS_0 seconds[-] 40, ;
System Uptime[ms] 60685,System VBATTcell0[V] 4.05,System VBATTcell1[V] 4.01,System VBATTcell2[V] 3.96,Airdata rho[kg/m3] 1.23,Airdata T[C] 9.95,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 0.20,Airdata VTAS[m/s] 0.20,BMP280_0 P[Pa] 100080.08, BMP280_0 Tpackage[C] 18.25, HTU21DF_0 RH[%] 77.76, HTU21DF_0 Tpackage[C] 17.67, D6F-PH0025AD1_0 q[Pa] nan, D6F-PH0025AD1_0 Tpackage[C] nan, D6F-PH0025AD1_1 q[Pa] 0.00, D6F-PH0025AD1_1 Tpackage[C] 17.10, D6F-PH0025AD1_2 q[Pa] 0.00, D6F-PH0025AD1_2 Tpackage[C] 17.30, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 7, GPS_0 latitude[deg] 51.1876564026, GPS_0 longitude[deg] -1.0282601118, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 26, GPS_0 hours[-] 20, GPS_0 minutes[-] 26, GPS_0 seconds[-] 40, ;
System Uptime[ms] 61073,System VBATTcell0[V] 4.05,System VBATTcell1[V] 4.00,System VBATTcell2[V] 3.97,Airdata rho[kg/m3] 1.23,Airdata T[C] 9.96,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 0.20,Airdata VTAS[m/s] 0.20,BMP280_0 P[Pa] 100080.66, BMP280_0 Tpackage[C] 18.26, HTU21DF_0 RH[%] 77.52, HTU21DF_0 Tpackage[C] 17.69, D6F-PH0025AD1_0 q[Pa] nan, D6F-PH0025AD1_0 Tpackage[C] nan, D6F-PH0025AD1_1 q[Pa] 0.00, D6F-PH0025AD1_1 Tpackage[C] 17.10, D6F-PH0025AD1_2 q[Pa] 0.25, D6F-PH0025AD1_2 Tpackage[C] 17.30, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 7, GPS_0 latitude[deg] 51.1876525879, GPS_0 longitude[deg] -1.0282611847, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 26, GPS_0 hours[-] 20, GPS_0 minutes[-] 26, GPS_0 seconds[-] 41, ;
System Uptime[ms] 61461,System VBATTcell0[V] 4.05,System VBATTcell1[V] 4.01,System VBATTcell2[V] 3.96,Airdata rho[kg/m3] 1.23,Airdata T[C] 9.98,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 0.21,Airdata VTAS[m/s] 0.20,BMP280_0 P[Pa] 100079.44, BMP280_0 Tpackage[C] 18.28, HTU21DF_0 RH[%] 77.34, HTU21DF_0 Tpackage[C] 17.69, D6F-PH0025AD1_0 q[Pa] nan, D6F-PH0025AD1_0 Tpackage[C] nan, D6F-PH0025AD1_1 q[Pa] 0.11, D6F-PH0025AD1_1 Tpackage[C] 17.10, D6F-PH0025AD1_2 q[Pa] 0.10, D6F-PH0025AD1_2 Tpackage[C] 17.30, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 7, GPS_0 latitude[deg] 51.1876525879, GPS_0 longitude[deg] -1.0282611847, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 26, GPS_0 hours[-] 20, GPS_0 minutes[-] 26, GPS_0 seconds[-] 41, ;
System Uptime[ms] 61874,System VBATTcell0[V] 4.05,System VBATTcell1[V] 4.00,System VBATTcell2[V] 3.97,Airdata rho[kg/m3] 1.23,Airdata T[C] 9.98,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 0.22,Airdata VTAS[m/s] 0.20,BMP280_0 P[Pa] 100078.63, BMP280_0 Tpackage[C] 18.28, HTU21DF_0 RH[%] 77.18, HTU21DF_0 Tpackage[C] 17.70, D6F-PH0025AD1_0 q[Pa] nan, D6F-PH0025AD1_0 Tpackage[C] nan, D6F-PH0025AD1_1 q[Pa] 0.00, D6F-PH0025AD1_1 Tpackage[C] 16.90, D6F-PH0025AD1_2 q[Pa] 0.15, D6F-PH0025AD1_2 Tpackage[C] 17.30, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 7, GPS_0 latitude[deg] 51.1876525879, GPS_0 longitude[deg] -1.0282611847, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 26, GPS_0 hours[-] 20, GPS_0 minutes[-] 26, GPS_0 seconds[-] 41, ;
System Uptime[ms] 62262,System VBATTcell0[V] 4.05,System VBATTcell1[V] 4.01,System VBATTcell2[V] 3.94,Airdata rho[kg/m3] 1.23,Airdata T[C] 9.99,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 0.22,Airdata VTAS[m/s] 0.20,BMP280_0 P[Pa] 100080.91, BMP280_0 Tpackage[C] 18.29, HTU21DF_0 RH[%] 77.37, HTU21DF_0 Tpackage[C] 17.73, D6F-PH0025AD1_0 q[Pa] nan, D6F-PH0025AD1_0 Tpackage[C] nan, D6F-PH0025AD1_1 q[Pa] 0.00, D6F-PH0025AD1_1 Tpackage[C] 16.90, D6F-PH0025AD1_2 q[Pa] 0.00, D6F-PH0025AD1_2 Tpackage[C] 17.30, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 7, GPS_0 latitude[deg] 51.1876525879, GPS_0 longitude[deg] -1.0282628536, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 26, GPS_0 hours[-] 20, GPS_0 minutes[-] 26, GPS_0 seconds[-] 42, ;
System Uptime[ms] 62650,System VBATTcell0[V] 4.05,System VBATTcell1[V] 4.01,System VBATTcell2[V] 3.94,Airdata rho[kg/m3] 1.23,Airdata T[C] 9.99,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 0.22,Airdata VTAS[m/s] 0.20,BMP280_0 P[Pa] 100079.55, BMP280_0 Tpackage[C] 18.29, HTU21DF_0 RH[%] 77.39, HTU21DF_0 Tpackage[C] 17.73, D6F-PH0025AD1_0 q[Pa] nan, D6F-PH0025AD1_0 Tpackage[C] nan, D6F-PH0025AD1_1 q[Pa] 0.00, D6F-PH0025AD1_1 Tpackage[C] 16.90, D6F-PH0025AD1_2 q[Pa] 0.00, D6F-PH0025AD1_2 Tpackage[C] 17.30, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 7, GPS_0 latitude[deg] 51.1876525879, GPS_0 longitude[deg] -1.0282628536, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 26, GPS_0 hours[-] 20, GPS_0 minutes[-] 26, GPS_0 seconds[-] 42, ;
System Uptime[ms] 63038,System VBATTcell0[V] 4.05,System VBATTcell1[V] 4.00,System VBATTcell2[V] 3.97,Airdata rho[kg/m3] 1.23,Airdata T[C] 10.00,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 0.24,Airdata VTAS[m/s] 0.24,BMP280_0 P[Pa] 100080.67, BMP280_0 Tpackage[C] 18.30, HTU21DF_0 RH[%] 77.21, HTU21DF_0 Tpackage[C] 17.73, D6F-PH0025AD1_0 q[Pa] nan, D6F-PH0025AD1_0 Tpackage[C] nan, D6F-PH0025AD1_1 q[Pa] 0.47, D6F-PH0025AD1_1 Tpackage[C] 16.90, D6F-PH0025AD1_2 q[Pa] 0.00, D6F-PH0025AD1_2 Tpackage[C] 17.30, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 7, GPS_0 latitude[deg] 51.1876525879, GPS_0 longitude[deg] -1.0282634497, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 26, GPS_0 hours[-] 20, GPS_0 minutes[-] 26, GPS_0 seconds[-] 43, ;
