System Uptime[ms] 23246,System VBATTcell0[V] 4.00,System VBATTcell1[V] 3.96,System VBATTcell2[V] 3.94,Airdata rho[kg/m3] 1.22,Airdata T[C] 12.01,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 1.59,Airdata VTAS[m/s] 1.60,BMP280_0 P[Pa] 100174.52, BMP280_0 Tpackage[C] 20.31, HTU21DF_0 RH[%] 72.22, HTU21DF_0 Tpackage[C] 19.21, D6F-PH0025AD1_0 q[Pa] nan, D6F-PH0025AD1_0 Tpackage[C] nan, D6F-PH0025AD1_1 q[Pa] 0.00, D6F-PH0025AD1_1 Tpackage[C] 16.70, D6F-PH0025AD1_2 q[Pa] 0.55, D6F-PH0025AD1_2 Tpackage[C] 16.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] -1, GPS_0 latitude[deg] 51.1871643066, GPS_0 longitude[deg] -1.0374636650, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 16, GPS_0 seconds[-] 45, ;
System Uptime[ms] 23674,System VBATTcell0[V] 4.00,System VBATTcell1[V] 3.97,System VBATTcell2[V] 3.93,Airdata rho[kg/m3] 1.22,Airdata T[C] 12.02,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 1.34,Airdata VTAS[m/s] 1.34,BMP280_0 P[Pa] 100175.28, BMP280_0 Tpackage[C] 20.32, HTU21DF_0 RH[%] 72.15, HTU21DF_0 Tpackage[C] 19.21, D6F-PH0025AD1_0 q[Pa] nan, D6F-PH0025AD1_0 Tpackage[C] nan, D6F-PH0025AD1_1 q[Pa] 0.00, D6F-PH0025AD1_1 Tpackage[C] 16.70, D6F-PH0025AD1_2 q[Pa] 0.45, D6F-PH0025AD1_2 Tpackage[C] 16.30, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] -1, GPS_0 latitude[deg] 51.1871643066, GPS_0 longitude[deg] -1.0374635458, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 16, GPS_0 seconds[-] 45, ;
System Uptime[ms] 24062,System VBATTcell0[V] 4.01,System VBATTcell1[V] 3.96,System VBATTcell2[V] 3.93,Airdata rho[kg/m3] 1.22,Airdata T[C] 12.02,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 1.30,Airdata VTAS[m/s] 1.31,BMP280_0 P[Pa] 100173.33, BMP280_0 Tpackage[C] 20.32, HTU21DF_0 RH[%] 72.14, HTU21DF_0 Tpackage[C] 19.21, D6F-PH0025AD1_0 q[Pa] nan, D6F-PH0025AD1_0 Tpackage[C] nan, D6F-PH0025AD1_1 q[Pa] 0.58, D6F-PH0025AD1_1 Tpackage[C] 16.50, D6F-PH0025AD1_2 q[Pa] 2.01, D6F-PH0025AD1_2 Tpackage[C] 16.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] -1, GPS_0 latitude[deg] 51.1871643066, GPS_0 longitude[deg] -1.0374635458, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 16, GPS_0 seconds[-] 45, ;
System Uptime[ms] 24450,System VBATTcell0[V] 4.00,System VBATTcell1[V] 3.97,System VBATTcell2[V] 3.93,Airdata rho[kg/m3] 1.22,Airdata T[C] 12.03,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 1.24,Airdata VTAS[m/s] 1.24,BMP280_0 P[Pa] 100176.78, BMP280_0 Tpackage[C] 20.33, HTU21DF_0 RH[%] 72.09, HTU21DF_0 Tpackage[C] 19.21, D6F-PH0025AD1_0 q[Pa] nan, D6F-PH0025AD1_0 Tpackage[C] nan, D6F-PH0025AD1_1 q[Pa] 0.00, D6F-PH0025AD1_1 Tpackage[C] 16.50, D6F-PH0025AD1_2 q[Pa] 1.15, D6F-PH0025AD1_2 Tpackage[C] 16.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] -1, GPS_0 latitude[deg] 51.1871681213, GPS_0 longitude[deg] -1.0374641418, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 16, GPS_0 seconds[-] 46, ;
System Uptime[ms] 24838,System VBATTcell0[V] 4.01,System VBATTcell1[V] 3.96,System VBATTcell2[V] 3.93,Airdata rho[kg/m3] 1.22,Airdata T[C] 12.02,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 1.30,Airdata VTAS[m/s] 1.31,BMP280_0 P[Pa] 100173.92, BMP280_0 Tpackage[C] 20.32, HTU21DF_0 RH[%] 72.03, HTU21DF_0 Tpackage[C] 19.22, D6F-PH0025AD1_0 q[Pa] nan, D6F-PH0025AD1_0 Tpackage[C] nan, D6F-PH0025AD1_1 q[Pa] 1.19, D6F-PH0025AD1_1 Tpackage[C] 16.70, D6F-PH0025AD1_2 q[Pa] 1.31, D6F-PH0025AD1_2 Tpackage[C] 16.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] -1, GPS_0 latitude[deg] 51.1871681213, GPS_0 longitude[deg] -1.0374641418, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 16, GPS_0 seconds[-] 46, ;
System Uptime[ms] 25226,System VBATTcell0[V] 4.01,System VBATTcell1[V] 3.95,System VBATTcell2[V] 3.94,Airdata rho[kg/m3] 1.22,Airdata T[C] 12.03,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 1.37,Airdata VTAS[m/s] 1.37,BMP280_0 P[Pa] 100174.80, BMP280_0 Tpackage[C] 20.33, HTU21DF_0 RH[%] 72.05, HTU21DF_0 Tpackage[C] 19.23, D6F-PH0025AD1_0 q[Pa] nan, D6F-PH0025AD1_0 Tpackage[C] nan, D6F-PH0025AD1_1 q[Pa] 1.40, D6F-PH0025AD1_1 Tpackage[C] 16.70, D6F-PH0025AD1_2 q[Pa] 1.67, D6F-PH0025AD1_2 Tpackage[C] 16.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] -1, GPS_0 latitude[deg] 51.1871681213, GPS_0 longitude[deg] -1.0374641418, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 16, GPS_0 seconds[-] 47, ;
System Uptime[ms] 25614,System VBATTcell0[V] 4.00,System VBATTcell1[V] 3.97,System VBATTcell2[V] 3.93,Airdata rho[kg/m3] 1.22,Airdata T[C] 12.03,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 1.46,Airdata VTAS[m/s] 1.46,BMP280_0 P[Pa] 100175.27, BMP280_0 Tpackage[C] 20.33, HTU21DF_0 RH[%] 72.07, HTU21DF_0 Tpackage[C] 19.21, D6F-PH0025AD1_0 q[Pa] nan, D6F-PH0025AD1_0 Tpackage[C] nan, D6F-PH0025AD1_1 q[Pa] 1.55, D6F-PH0025AD1_1 Tpackage[C] 16.70, D6F-PH0025AD1_2 q[Pa] 2.17, D6F-PH0025AD1_2 Tpackage[C] 16.30, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 10, GPS_0 latitude[deg] 51.1871681213, GPS_0 longitude[deg] -1.0374641418, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 16, GPS_0 seconds[-] 47, ;
System Uptime[ms] 26027,System VBATTcell0[V] 4.00,System VBATTcell1[V] 3.96,System VBATTcell2[V] 3.94,Airdata rho[kg/m3] 1.22,Airdata T[C] 12.04,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 1.39,Airdata VTAS[m/s] 1.39,BMP280_0 P[Pa] 100175.98, BMP280_0 Tpackage[C] 20.34, HTU21DF_0 RH[%] 72.09, HTU21DF_0 Tpackage[C] 19.23, D6F-PH0025AD1_0 q[Pa] nan, D6F-PH0025AD1_0 Tpackage[C] nan, D6F-PH0025AD1_1 q[Pa] 0.22, D6F-PH0025AD1_1 Tpackage[C] 16.50, D6F-PH0025AD1_2 q[Pa] 0.86, D6F-PH0025AD1_2 Tpackage[C] 16.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 10, GPS_0 latitude[deg] 51.1871681213, GPS_0 longitude[deg] -1.0374641418, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 16, GPS_0 seconds[-] 47, ;
System Uptime[ms] 26415,System VBATTcell0[V] 4.01,System VBATTcell1[V] 3.96,System VBATTcell2[V] 3.93,Airdata rho[kg/m3] 1.22,Airdata T[C] 12.04,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 1.29,Airdata VTAS[m/s] 1.29,BMP280_0 P[Pa] 100175.03, BMP280_0 Tpackage[C] 20.34, HTU21DF_0 RH[%] 72.08, HTU21DF_0 Tpackage[C] 19.22, D6F-PH0025AD1_0 q[Pa] nan, D6F-PH0025AD1_0 Tpackage[C] nan, D6F-PH0025AD1_1 q[Pa] 0.00, D6F-PH0025AD1_1 Tpackage[C] 16.50, D6F-PH0025AD1_2 q[Pa] 1.36, D6F-PH0025AD1_2 Tpackage[C] 16.30, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 10, GPS_0 latitude[deg] 51.1871681213, GPS_0 longitude[deg] -1.0374654531, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 16, GPS_0 seconds[-] 48, ;
System Uptime[ms] 26803,System VBATTcell0[V] 4.00,System VBATTcell1[V] 3.97,System VBATTcell2[V] 3.93,Airdata rho[kg/m3] 1.22,Airdata T[C] 12.05,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 1.35,Airdata VTAS[m/s] 1.35,BMP280_0 P[Pa] 100173.84, BMP280_0 Tpackage[C] 20.35, HTU21DF_0 RH[%] 72.03, HTU21DF_0 Tpackage[C] 19.22, D6F-PH0025AD1_0 q[Pa] nan, D6F-PH0025AD1_0 Tpackage[C] nan, D6F-PH0025AD1_1 q[Pa] 0.94, D6F-PH0025AD1_1 Tpackage[C] 16.50, D6F-PH0025AD1_2 q[Pa] 2.17, D6F-PH0025AD1_2 Tpackage[C] 16.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 10, GPS_0 latitude[deg] 51.1871681213, GPS_0 longitude[deg] -1.0374654531, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 16, GPS_0 seconds[-] 48, ;
System Uptime[ms] 27191,System VBATTcell0[V] 4.01,System VBATTcell1[V] 3.96,System VBATTcell2[V] 3.93,Airdata rho[kg/m3] 1.22,Airdata T[C] 12.05,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 1.37,Airdata VTAS[m/s] 1.37,BMP280_0 P[Pa] 100174.39, BMP280_0 Tpackage[C] 20.35, HTU21DF_0 RH[%] 72.00, HTU21DF_0 Tpackage[C] 19.23, D6F-PH0025AD1_0 q[Pa] nan, D6F-PH0025AD1_0 Tpackage[C] nan, D6F-PH0025AD1_1 q[Pa] 0.63, D6F-PH0025AD1_1 Tpackage[C] 16.70, D6F-PH0025AD1_2 q[Pa] 1.56, D6F-PH0025AD1_2 Tpackage[C] 16.30, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 10, GPS_0 latitude[deg] 51.1871681213, GPS_0 longitude[deg] -1.0374654531, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 16, GPS_0 seconds[-] 49, ;
