System Uptime[ms] 53114,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.94,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 13.96,Airdata AoA[deg] -1.93,Airdata AoS[deg] -11.73,Airdata VCAS[m/s] 2.08,Airdata VTAS[m/s] 2.09,BMP280_0 P[Pa] 100202.67, BMP280_0 Tpackage[C] 22.26, HTU21DF_0 RH[%] 79.01, HTU21DF_0 Tpackage[C] 20.89, D6F-PH0025AD1_0 q[Pa] 2.45, D6F-PH0025AD1_0 Tpackage[C] 18.80, D6F-PH0025AD1_1 q[Pa] 1.37, D6F-PH0025AD1_1 Tpackage[C] 19.20, D6F-PH0025AD1_2 q[Pa] 3.08, D6F-PH0025AD1_2 Tpackage[C] 18.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 0, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382966995, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 48, GPS_0 seconds[-] 47, ;
System Uptime[ms] 53611,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.94,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 13.98,Airdata AoA[deg] -6.42,Airdata AoS[deg] -11.05,Airdata VCAS[m/s] 2.00,Airdata VTAS[m/s] 2.01,BMP280_0 P[Pa] 100205.44, BMP280_0 Tpackage[C] 22.28, HTU21DF_0 RH[%] 79.83, HTU21DF_0 Tpackage[C] 20.88, D6F-PH0025AD1_0 q[Pa] 2.14, D6F-PH0025AD1_0 Tpackage[C] 18.80, D6F-PH0025AD1_1 q[Pa] 1.31, D6F-PH0025AD1_1 Tpackage[C] 19.40, D6F-PH0025AD1_2 q[Pa] 2.46, D6F-PH0025AD1_2 Tpackage[C] 18.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 0, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382968187, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 48, GPS_0 seconds[-] 48, ;
System Uptime[ms] 54068,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.95,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 13.99,Airdata AoA[deg] -19.83,Airdata AoS[deg] -23.06,Airdata VCAS[m/s] 2.03,Airdata VTAS[m/s] 2.04,BMP280_0 P[Pa] 100202.45, BMP280_0 Tpackage[C] 22.29, HTU21DF_0 RH[%] 78.69, HTU21DF_0 Tpackage[C] 20.88, D6F-PH0025AD1_0 q[Pa] 1.78, D6F-PH0025AD1_0 Tpackage[C] 18.80, D6F-PH0025AD1_1 q[Pa] 0.43, D6F-PH0025AD1_1 Tpackage[C] 19.20, D6F-PH0025AD1_2 q[Pa] 2.40, D6F-PH0025AD1_2 Tpackage[C] 18.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 0, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382968187, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 48, GPS_0 seconds[-] 48, ;
System Uptime[ms] 54525,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.94,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.01,Airdata AoA[deg] -1.05,Airdata AoS[deg] -13.13,Airdata VCAS[m/s] 1.79,Airdata VTAS[m/s] 1.80,BMP280_0 P[Pa] 100201.50, BMP280_0 Tpackage[C] 22.31, HTU21DF_0 RH[%] 78.15, HTU21DF_0 Tpackage[C] 20.88, D6F-PH0025AD1_0 q[Pa] 1.78, D6F-PH0025AD1_0 Tpackage[C] 18.80, D6F-PH0025AD1_1 q[Pa] 0.95, D6F-PH0025AD1_1 Tpackage[C] 19.20, D6F-PH0025AD1_2 q[Pa] 2.40, D6F-PH0025AD1_2 Tpackage[C] 18.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 0, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382966995, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 48, GPS_0 seconds[-] 49, ;
System Uptime[ms] 54982,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.95,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.03,Airdata AoA[deg] 3.47,Airdata AoS[deg] -2.94,Airdata VCAS[m/s] 1.74,Airdata VTAS[m/s] 1.75,BMP280_0 P[Pa] 100203.31, BMP280_0 Tpackage[C] 22.33, HTU21DF_0 RH[%] 79.59, HTU21DF_0 Tpackage[C] 20.91, D6F-PH0025AD1_0 q[Pa] 1.78, D6F-PH0025AD1_0 Tpackage[C] 18.80, D6F-PH0025AD1_1 q[Pa] 1.57, D6F-PH0025AD1_1 Tpackage[C] 19.40, D6F-PH0025AD1_2 q[Pa] 2.20, D6F-PH0025AD1_2 Tpackage[C] 18.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 0, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382966995, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 48, GPS_0 seconds[-] 49, ;
System Uptime[ms] 55439,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.95,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.04,Airdata AoA[deg] 15.05,Airdata AoS[deg] -4.42,Airdata VCAS[m/s] 1.89,Airdata VTAS[m/s] 1.90,BMP280_0 P[Pa] 100203.28, BMP280_0 Tpackage[C] 22.34, HTU21DF_0 RH[%] 81.54, HTU21DF_0 Tpackage[C] 20.94, D6F-PH0025AD1_0 q[Pa] 2.54, D6F-PH0025AD1_0 Tpackage[C] 18.80, D6F-PH0025AD1_1 q[Pa] 1.73, D6F-PH0025AD1_1 Tpackage[C] 19.40, D6F-PH0025AD1_2 q[Pa] 3.44, D6F-PH0025AD1_2 Tpackage[C] 18.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 0, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382962227, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 48, GPS_0 seconds[-] 50, ;
System Uptime[ms] 55921,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.94,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.05,Airdata AoA[deg] -10.50,Airdata AoS[deg] -12.24,Airdata VCAS[m/s] 1.89,Airdata VTAS[m/s] 1.91,BMP280_0 P[Pa] 100204.41, BMP280_0 Tpackage[C] 22.35, HTU21DF_0 RH[%] 81.36, HTU21DF_0 Tpackage[C] 20.95, D6F-PH0025AD1_0 q[Pa] 1.83, D6F-PH0025AD1_0 Tpackage[C] 18.80, D6F-PH0025AD1_1 q[Pa] 1.06, D6F-PH0025AD1_1 Tpackage[C] 19.20, D6F-PH0025AD1_2 q[Pa] 2.00, D6F-PH0025AD1_2 Tpackage[C] 18.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 0, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382962227, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 48, GPS_0 seconds[-] 50, ;
System Uptime[ms] 56378,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.94,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.07,Airdata AoA[deg] -1.85,Airdata AoS[deg] -21.91,Airdata VCAS[m/s] 1.89,Airdata VTAS[m/s] 1.91,BMP280_0 P[Pa] 100208.22, BMP280_0 Tpackage[C] 22.37, HTU21DF_0 RH[%] 81.71, HTU21DF_0 Tpackage[C] 20.99, D6F-PH0025AD1_0 q[Pa] 1.83, D6F-PH0025AD1_0 Tpackage[C] 18.80, D6F-PH0025AD1_1 q[Pa] 0.43, D6F-PH0025AD1_1 Tpackage[C] 19.40, D6F-PH0025AD1_2 q[Pa] 3.13, D6F-PH0025AD1_2 Tpackage[C] 18.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 0, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382964611, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 48, GPS_0 seconds[-] 51, ;
System Uptime[ms] 56835,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.95,System VBATTcell2[V] 3.92,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.08,Airdata AoA[deg] 30.69,Airdata AoS[deg] -17.08,Airdata VCAS[m/s] 2.32,Airdata VTAS[m/s] 2.33,BMP280_0 P[Pa] 100208.75, BMP280_0 Tpackage[C] 22.38, HTU21DF_0 RH[%] 80.75, HTU21DF_0 Tpackage[C] 20.99, D6F-PH0025AD1_0 q[Pa] 2.95, D6F-PH0025AD1_0 Tpackage[C] 18.80, D6F-PH0025AD1_1 q[Pa] 1.58, D6F-PH0025AD1_1 Tpackage[C] 19.20, D6F-PH0025AD1_2 q[Pa] 5.33, D6F-PH0025AD1_2 Tpackage[C] 18.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 0, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382964611, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 48, GPS_0 seconds[-] 51, ;
System Uptime[ms] 57309,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.94,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.09,Airdata AoA[deg] -43.04,Airdata AoS[deg] -34.48,Airdata VCAS[m/s] 3.00,Airdata VTAS[m/s] 3.02,BMP280_0 P[Pa] 100208.00, BMP280_0 Tpackage[C] 22.39, HTU21DF_0 RH[%] 79.02, HTU21DF_0 Tpackage[C] 21.00, D6F-PH0025AD1_0 q[Pa] 3.06, D6F-PH0025AD1_0 Tpackage[C] 19.00, D6F-PH0025AD1_1 q[Pa] 0.69, D6F-PH0025AD1_1 Tpackage[C] 19.40, D6F-PH0025AD1_2 q[Pa] 2.97, D6F-PH0025AD1_2 Tpackage[C] 18.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 0, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382964611, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 48, GPS_0 seconds[-] 52, ;
System Uptime[ms] 57766,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.94,System VBATTcell2[V] 3.92,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.10,Airdata AoA[deg] -7.93,Airdata AoS[deg] -34.62,Airdata VCAS[m/s] 2.49,Airdata VTAS[m/s] 2.51,BMP280_0 P[Pa] 100207.97, BMP280_0 Tpackage[C] 22.40, HTU21DF_0 RH[%] 77.27, HTU21DF_0 Tpackage[C] 21.01, D6F-PH0025AD1_0 q[Pa] 2.65, D6F-PH0025AD1_0 Tpackage[C] 19.00, D6F-PH0025AD1_1 q[Pa] 0.63, D6F-PH0025AD1_1 Tpackage[C] 19.20, D6F-PH0025AD1_2 q[Pa] 4.92, D6F-PH0025AD1_2 Tpackage[C] 18.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 0, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382964611, GPS_0 year[-] -1, GPS_0 month[-] -1, GPS_0 day[-] -1, GPS_0 hours[-] 5, GPS_0 minutes[-] 48, GPS_0 seconds[-] 52, ;
