System Uptime[ms] 233087,System VBATTcell0[V] 3.97,System VBATTcell1[V] 3.94,System VBATTcell2[V] 3.88,Airdata rho[kg/m3] 1.20,Airdata T[C] 15.57,Airdata AoA[deg] 2.83,Airdata AoS[deg] -0.42,Airdata VCAS[m/s] 3.97,Airdata VTAS[m/s] 4.00,BMP280_0 P[Pa] 100194.58, BMP280_0 Tpackage[C] 23.87, HTU21DF_0 RH[%] 78.48, HTU21DF_0 Tpackage[C] 23.90, D6F-PH0025AD1_0 q[Pa] 10.27, D6F-PH0025AD1_0 Tpackage[C] 19.20, D6F-PH0025AD1_1 q[Pa] 9.38, D6F-PH0025AD1_1 Tpackage[C] 19.80, D6F-PH0025AD1_2 q[Pa] 10.56, D6F-PH0025AD1_2 Tpackage[C] 19.30, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.02, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1861915588, GPS_0 longitude[deg] -1.0366486311, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 5, GPS_0 seconds[-] 55, ;
System Uptime[ms] 233582,System VBATTcell0[V] 3.97,System VBATTcell1[V] 3.94,System VBATTcell2[V] 3.88,Airdata rho[kg/m3] 1.20,Airdata T[C] 15.56,Airdata AoA[deg] 3.27,Airdata AoS[deg] -1.46,Airdata VCAS[m/s] 4.09,Airdata VTAS[m/s] 4.12,BMP280_0 P[Pa] 100195.41, BMP280_0 Tpackage[C] 23.86, HTU21DF_0 RH[%] 74.28, HTU21DF_0 Tpackage[C] 23.74, D6F-PH0025AD1_0 q[Pa] 10.82, D6F-PH0025AD1_0 Tpackage[C] 19.20, D6F-PH0025AD1_1 q[Pa] 9.64, D6F-PH0025AD1_1 Tpackage[C] 19.60, D6F-PH0025AD1_2 q[Pa] 11.18, D6F-PH0025AD1_2 Tpackage[C] 19.60, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.02, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1861915588, GPS_0 longitude[deg] -1.0366486311, GPS_0 year[-] -1, GPS_0 month[-] -1, GPS_0 day[-] -1, GPS_0 hours[-] 6, GPS_0 minutes[-] 5, GPS_0 seconds[-] 55, ;
System Uptime[ms] 234039,System VBATTcell0[V] 3.97,System VBATTcell1[V] 3.94,System VBATTcell2[V] 3.88,Airdata rho[kg/m3] 1.20,Airdata T[C] 15.54,Airdata AoA[deg] -0.23,Airdata AoS[deg] -2.59,Airdata VCAS[m/s] 4.10,Airdata VTAS[m/s] 4.14,BMP280_0 P[Pa] 100202.86, BMP280_0 Tpackage[C] 23.84, HTU21DF_0 RH[%] 71.39, HTU21DF_0 Tpackage[C] 23.68, D6F-PH0025AD1_0 q[Pa] 10.13, D6F-PH0025AD1_0 Tpackage[C] 19.40, D6F-PH0025AD1_1 q[Pa] 9.13, D6F-PH0025AD1_1 Tpackage[C] 19.80, D6F-PH0025AD1_2 q[Pa] 10.42, D6F-PH0025AD1_2 Tpackage[C] 19.60, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.02, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1861915588, GPS_0 longitude[deg] -1.0366486311, GPS_0 year[-] -1, GPS_0 month[-] -1, GPS_0 day[-] -1, GPS_0 hours[-] 6, GPS_0 minutes[-] 5, GPS_0 seconds[-] 56, ;
System Uptime[ms] 234496,System VBATTcell0[V] 3.98,System VBATTcell1[V] 3.93,System VBATTcell2[V] 3.88,Airdata rho[kg/m3] 1.20,Airdata T[C] 15.53,Airdata AoA[deg] -1.35,Airdata AoS[deg] -3.43,Airdata VCAS[m/s] 4.03,Airdata VTAS[m/s] 4.07,BMP280_0 P[Pa] 100201.23, BMP280_0 Tpackage[C] 23.83, HTU21DF_0 RH[%] 68.83, HTU21DF_0 Tpackage[C] 23.65, D6F-PH0025AD1_0 q[Pa] 9.36, D6F-PH0025AD1_0 Tpackage[C] 19.20, D6F-PH0025AD1_1 q[Pa] 8.53, D6F-PH0025AD1_1 Tpackage[C] 19.80, D6F-PH0025AD1_2 q[Pa] 9.83, D6F-PH0025AD1_2 Tpackage[C] 19.60, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.02, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1861915588, GPS_0 longitude[deg] -1.0366486311, GPS_0 year[-] -1, GPS_0 month[-] -1, GPS_0 day[-] -1, GPS_0 hours[-] 6, GPS_0 minutes[-] 5, GPS_0 seconds[-] 56, ;
System Uptime[ms] 234953,System VBATTcell0[V] 3.97,System VBATTcell1[V] 3.94,System VBATTcell2[V] 3.88,Airdata rho[kg/m3] 1.20,Airdata T[C] 15.51,Airdata AoA[deg] 4.36,Airdata AoS[deg] -2.80,Airdata VCAS[m/s] 3.95,Airdata VTAS[m/s] 3.98,BMP280_0 P[Pa] 100201.52, BMP280_0 Tpackage[C] 23.81, HTU21DF_0 RH[%] 67.04, HTU21DF_0 Tpackage[C] 23.65, D6F-PH0025AD1_0 q[Pa] 8.58, D6F-PH0025AD1_0 Tpackage[C] 19.40, D6F-PH0025AD1_1 q[Pa] 8.66, D6F-PH0025AD1_1 Tpackage[C] 19.60, D6F-PH0025AD1_2 q[Pa] 10.64, D6F-PH0025AD1_2 Tpackage[C] 19.60, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.02, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1861915588, GPS_0 longitude[deg] -1.0366477966, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 5, GPS_0 seconds[-] 57, ;
System Uptime[ms] 235410,System VBATTcell0[V] 3.97,System VBATTcell1[V] 3.94,System VBATTcell2[V] 3.88,Airdata rho[kg/m3] 1.20,Airdata T[C] 15.51,Airdata AoA[deg] -1.46,Airdata AoS[deg] -4.01,Airdata VCAS[m/s] 3.89,Airdata VTAS[m/s] 3.93,BMP280_0 P[Pa] 100201.56, BMP280_0 Tpackage[C] 23.81, HTU21DF_0 RH[%] 65.27, HTU21DF_0 Tpackage[C] 23.60, D6F-PH0025AD1_0 q[Pa] 8.71, D6F-PH0025AD1_0 Tpackage[C] 19.40, D6F-PH0025AD1_1 q[Pa] 7.97, D6F-PH0025AD1_1 Tpackage[C] 19.60, D6F-PH0025AD1_2 q[Pa] 9.17, D6F-PH0025AD1_2 Tpackage[C] 19.60, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.02, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1861915588, GPS_0 longitude[deg] -1.0366477966, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 5, GPS_0 seconds[-] 57, ;
System Uptime[ms] 235892,System VBATTcell0[V] 3.98,System VBATTcell1[V] 3.93,System VBATTcell2[V] 3.88,Airdata rho[kg/m3] 1.20,Airdata T[C] 15.51,Airdata AoA[deg] 2.80,Airdata AoS[deg] -14.23,Airdata VCAS[m/s] 3.82,Airdata VTAS[m/s] 3.85,BMP280_0 P[Pa] 100203.31, BMP280_0 Tpackage[C] 23.81, HTU21DF_0 RH[%] 63.93, HTU21DF_0 Tpackage[C] 23.59, D6F-PH0025AD1_0 q[Pa] 7.32, D6F-PH0025AD1_0 Tpackage[C] 19.20, D6F-PH0025AD1_1 q[Pa] 6.07, D6F-PH0025AD1_1 Tpackage[C] 19.80, D6F-PH0025AD1_2 q[Pa] 9.90, D6F-PH0025AD1_2 Tpackage[C] 19.60, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.02, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1861915588, GPS_0 longitude[deg] -1.0366477966, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 5, GPS_0 seconds[-] 57, ;
System Uptime[ms] 236349,System VBATTcell0[V] 3.97,System VBATTcell1[V] 3.94,System VBATTcell2[V] 3.88,Airdata rho[kg/m3] 1.20,Airdata T[C] 15.51,Airdata AoA[deg] 10.44,Airdata AoS[deg] -9.71,Airdata VCAS[m/s] 3.84,Airdata VTAS[m/s] 3.88,BMP280_0 P[Pa] 100205.06, BMP280_0 Tpackage[C] 23.81, HTU21DF_0 RH[%] 63.25, HTU21DF_0 Tpackage[C] 23.61, D6F-PH0025AD1_0 q[Pa] 8.31, D6F-PH0025AD1_0 Tpackage[C] 19.40, D6F-PH0025AD1_1 q[Pa] 6.97, D6F-PH0025AD1_1 Tpackage[C] 19.60, D6F-PH0025AD1_2 q[Pa] 10.83, D6F-PH0025AD1_2 Tpackage[C] 19.60, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.02, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1861915588, GPS_0 longitude[deg] -1.0366475582, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 5, GPS_0 seconds[-] 58, ;
System Uptime[ms] 236806,System VBATTcell0[V] 3.97,System VBATTcell1[V] 3.94,System VBATTcell2[V] 3.88,Airdata rho[kg/m3] 1.20,Airdata T[C] 15.53,Airdata AoA[deg] 3.42,Airdata AoS[deg] -18.47,Airdata VCAS[m/s] 3.97,Airdata VTAS[m/s] 4.00,BMP280_0 P[Pa] 100204.61, BMP280_0 Tpackage[C] 23.83, HTU21DF_0 RH[%] 62.36, HTU21DF_0 Tpackage[C] 23.59, D6F-PH0025AD1_0 q[Pa] 8.26, D6F-PH0025AD1_0 Tpackage[C] 19.40, D6F-PH0025AD1_1 q[Pa] 6.01, D6F-PH0025AD1_1 Tpackage[C] 19.60, D6F-PH0025AD1_2 q[Pa] 10.77, D6F-PH0025AD1_2 Tpackage[C] 19.30, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.02, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1861915588, GPS_0 longitude[deg] -1.0366475582, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 5, GPS_0 seconds[-] 58, ;
System Uptime[ms] 237263,System VBATTcell0[V] 3.97,System VBATTcell1[V] 3.94,System VBATTcell2[V] 3.90,Airdata rho[kg/m3] 1.20,Airdata T[C] 15.52,Airdata AoA[deg] 0.44,Airdata AoS[deg] -4.68,Airdata VCAS[m/s] 3.63,Airdata VTAS[m/s] 3.66,BMP280_0 P[Pa] 100200.45, BMP280_0 Tpackage[C] 23.82, HTU21DF_0 RH[%] 61.39, HTU21DF_0 Tpackage[C] 23.60, D6F-PH0025AD1_0 q[Pa] 7.39, D6F-PH0025AD1_0 Tpackage[C] 19.40, D6F-PH0025AD1_1 q[Pa] 7.09, D6F-PH0025AD1_1 Tpackage[C] 19.80, D6F-PH0025AD1_2 q[Pa] 8.27, D6F-PH0025AD1_2 Tpackage[C] 19.60, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.02, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1861915588, GPS_0 longitude[deg] -1.0366475582, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 5, GPS_0 seconds[-] 59, ;
System Uptime[ms] 237720,System VBATTcell0[V] 3.97,System VBATTcell1[V] 3.93,System VBATTcell2[V] 3.89,Airdata rho[kg/m3] 1.20,Airdata T[C] 15.51,Airdata AoA[deg] -1.25,Airdata AoS[deg] -3.12,Airdata VCAS[m/s] 3.47,Airdata VTAS[m/s] 3.50,BMP280_0 P[Pa] 100205.56, BMP280_0 Tpackage[C] 23.81, HTU21DF_0 RH[%] 60.91, HTU21DF_0 Tpackage[C] 23.59, D6F-PH0025AD1_0 q[Pa] 6.62, D6F-PH0025AD1_0 Tpackage[C] 19.40, D6F-PH0025AD1_1 q[Pa] 6.60, D6F-PH0025AD1_1 Tpackage[C] 19.60, D6F-PH0025AD1_2 q[Pa] 7.27, D6F-PH0025AD1_2 Tpackage[C] 19.60, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.02, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1861915588, GPS_0 longitude[deg] -1.0366475582, GPS_0 year[-] -1, GPS_0 month[-] -1, GPS_0 day[-] -1, GPS_0 hours[-] 6, GPS_0 minutes[-] 5, GPS_0 seconds[-] 59, ;
