System Uptime[ms] 36868,System VBATTcell0[V] 3.95,System VBATTcell1[V] 3.88,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.68,Airdata AoA[deg] -3.79,Airdata AoS[deg] -3.79,Airdata VCAS[m/s] 3.53,Airdata VTAS[m/s] 3.56,BMP280_0 P[Pa] 100195.12, BMP280_0 Tpackage[C] 22.98, HTU21DF_0 RH[%] 81.88, HTU21DF_0 Tpackage[C] 22.36, D6F-PH0025AD1_0 q[Pa] 7.97, D6F-PH0025AD1_0 Tpackage[C] 17.30, D6F-PH0025AD1_1 q[Pa] 6.47, D6F-PH0025AD1_1 Tpackage[C] 18.00, D6F-PH0025AD1_2 q[Pa] 7.05, D6F-PH0025AD1_2 Tpackage[C] 17.50, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.03, GPS_0 satellites[-] -1, GPS_0 latitude[deg] 51.1872749329, GPS_0 longitude[deg] -1.0398111343, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 17, GPS_0 seconds[-] 30, ;
System Uptime[ms] 37363,System VBATTcell0[V] 3.95,System VBATTcell1[V] 3.89,System VBATTcell2[V] 3.90,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.68,Airdata AoA[deg] -4.65,Airdata AoS[deg] -8.10,Airdata VCAS[m/s] 3.36,Airdata VTAS[m/s] 3.38,BMP280_0 P[Pa] 100197.66, BMP280_0 Tpackage[C] 22.98, HTU21DF_0 RH[%] 82.23, HTU21DF_0 Tpackage[C] 22.34, D6F-PH0025AD1_0 q[Pa] 5.76, D6F-PH0025AD1_0 Tpackage[C] 17.50, D6F-PH0025AD1_1 q[Pa] 5.12, D6F-PH0025AD1_1 Tpackage[C] 18.00, D6F-PH0025AD1_2 q[Pa] 6.64, D6F-PH0025AD1_2 Tpackage[C] 17.50, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.03, GPS_0 satellites[-] -1, GPS_0 latitude[deg] 51.1872749329, GPS_0 longitude[deg] -1.0398111343, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 17, GPS_0 seconds[-] 30, ;
System Uptime[ms] 37820,System VBATTcell0[V] 3.95,System VBATTcell1[V] 3.88,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.70,Airdata AoA[deg] 9.16,Airdata AoS[deg] -6.76,Airdata VCAS[m/s] 3.19,Airdata VTAS[m/s] 3.21,BMP280_0 P[Pa] 100195.32, BMP280_0 Tpackage[C] 23.00, HTU21DF_0 RH[%] 80.08, HTU21DF_0 Tpackage[C] 22.28, D6F-PH0025AD1_0 q[Pa] 5.10, D6F-PH0025AD1_0 Tpackage[C] 17.30, D6F-PH0025AD1_1 q[Pa] 5.12, D6F-PH0025AD1_1 Tpackage[C] 18.00, D6F-PH0025AD1_2 q[Pa] 7.53, D6F-PH0025AD1_2 Tpackage[C] 17.50, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.04, GPS_0 satellites[-] -1, GPS_0 latitude[deg] 51.1872749329, GPS_0 longitude[deg] -1.0398116112, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 17, GPS_0 seconds[-] 31, ;
System Uptime[ms] 38277,System VBATTcell0[V] 3.95,System VBATTcell1[V] 3.88,System VBATTcell2[V] 3.90,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.77,Airdata AoA[deg] 4.88,Airdata AoS[deg] 1.31,Airdata VCAS[m/s] 3.20,Airdata VTAS[m/s] 3.23,BMP280_0 P[Pa] 100194.61, BMP280_0 Tpackage[C] 23.07, HTU21DF_0 RH[%] 81.83, HTU21DF_0 Tpackage[C] 22.31, D6F-PH0025AD1_0 q[Pa] 5.85, D6F-PH0025AD1_0 Tpackage[C] 17.30, D6F-PH0025AD1_1 q[Pa] 6.47, D6F-PH0025AD1_1 Tpackage[C] 18.00, D6F-PH0025AD1_2 q[Pa] 6.99, D6F-PH0025AD1_2 Tpackage[C] 17.50, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.03, GPS_0 satellites[-] -1, GPS_0 latitude[deg] 51.1872749329, GPS_0 longitude[deg] -1.0398116112, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 17, GPS_0 seconds[-] 31, ;
System Uptime[ms] 38734,System VBATTcell0[V] 3.95,System VBATTcell1[V] 3.88,System VBATTcell2[V] 3.90,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.81,Airdata AoA[deg] 5.29,Airdata AoS[deg] 3.64,Airdata VCAS[m/s] 3.33,Airdata VTAS[m/s] 3.36,BMP280_0 P[Pa] 100196.95, BMP280_0 Tpackage[C] 23.11, HTU21DF_0 RH[%] 84.10, HTU21DF_0 Tpackage[C] 22.35, D6F-PH0025AD1_0 q[Pa] 6.81, D6F-PH0025AD1_0 Tpackage[C] 17.50, D6F-PH0025AD1_1 q[Pa] 7.62, D6F-PH0025AD1_1 Tpackage[C] 18.00, D6F-PH0025AD1_2 q[Pa] 7.60, D6F-PH0025AD1_2 Tpackage[C] 17.50, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.03, GPS_0 satellites[-] -1, GPS_0 latitude[deg] 51.1872749329, GPS_0 longitude[deg] -1.0398119688, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 17, GPS_0 seconds[-] 32, ;
System Uptime[ms] 39191,System VBATTcell0[V] 3.95,System VBATTcell1[V] 3.88,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.80,Airdata AoA[deg] -18.57,Airdata AoS[deg] -14.67,Airdata VCAS[m/s] 3.40,Airdata VTAS[m/s] 3.43,BMP280_0 P[Pa] 100199.54, BMP280_0 Tpackage[C] 23.10, HTU21DF_0 RH[%] 85.00, HTU21DF_0 Tpackage[C] 22.37, D6F-PH0025AD1_0 q[Pa] 5.70, D6F-PH0025AD1_0 Tpackage[C] 17.50, D6F-PH0025AD1_1 q[Pa] 4.04, D6F-PH0025AD1_1 Tpackage[C] 18.00, D6F-PH0025AD1_2 q[Pa] 5.34, D6F-PH0025AD1_2 Tpackage[C] 17.50, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.03, GPS_0 satellites[-] -1, GPS_0 latitude[deg] 51.1872749329, GPS_0 longitude[deg] -1.0398119688, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 17, GPS_0 seconds[-] 32, ;
System Uptime[ms] 39673,System VBATTcell0[V] 3.95,System VBATTcell1[V] 3.89,System VBATTcell2[V] 3.90,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.79,Airdata AoA[deg] 4.34,Airdata AoS[deg] 0.57,Airdata VCAS[m/s] 3.11,Airdata VTAS[m/s] 3.14,BMP280_0 P[Pa] 100194.95, BMP280_0 Tpackage[C] 23.09, HTU21DF_0 RH[%] 83.14, HTU21DF_0 Tpackage[C] 22.34, D6F-PH0025AD1_0 q[Pa] 6.01, D6F-PH0025AD1_0 Tpackage[C] 17.50, D6F-PH0025AD1_1 q[Pa] 6.00, D6F-PH0025AD1_1 Tpackage[C] 18.00, D6F-PH0025AD1_2 q[Pa] 6.64, D6F-PH0025AD1_2 Tpackage[C] 17.50, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.03, GPS_0 satellites[-] -1, GPS_0 latitude[deg] 51.1872711182, GPS_0 longitude[deg] -1.0398119688, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 17, GPS_0 seconds[-] 33, ;
System Uptime[ms] 40130,System VBATTcell0[V] 3.95,System VBATTcell1[V] 3.88,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.79,Airdata AoA[deg] 2.76,Airdata AoS[deg] -5.43,Airdata VCAS[m/s] 3.15,Airdata VTAS[m/s] 3.18,BMP280_0 P[Pa] 100196.95, BMP280_0 Tpackage[C] 23.09, HTU21DF_0 RH[%] 80.32, HTU21DF_0 Tpackage[C] 22.29, D6F-PH0025AD1_0 q[Pa] 5.70, D6F-PH0025AD1_0 Tpackage[C] 17.30, D6F-PH0025AD1_1 q[Pa] 4.86, D6F-PH0025AD1_1 Tpackage[C] 18.00, D6F-PH0025AD1_2 q[Pa] 6.87, D6F-PH0025AD1_2 Tpackage[C] 17.50, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.03, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1872711182, GPS_0 longitude[deg] -1.0398119688, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 17, GPS_0 seconds[-] 33, ;
System Uptime[ms] 40587,System VBATTcell0[V] 3.96,System VBATTcell1[V] 3.87,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.80,Airdata AoA[deg] 4.13,Airdata AoS[deg] -0.14,Airdata VCAS[m/s] 3.26,Airdata VTAS[m/s] 3.28,BMP280_0 P[Pa] 100196.83, BMP280_0 Tpackage[C] 23.10, HTU21DF_0 RH[%] 78.04, HTU21DF_0 Tpackage[C] 22.31, D6F-PH0025AD1_0 q[Pa] 6.94, D6F-PH0025AD1_0 Tpackage[C] 17.50, D6F-PH0025AD1_1 q[Pa] 6.41, D6F-PH0025AD1_1 Tpackage[C] 18.00, D6F-PH0025AD1_2 q[Pa] 7.22, D6F-PH0025AD1_2 Tpackage[C] 17.50, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.03, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1872711182, GPS_0 longitude[deg] -1.0398119688, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 17, GPS_0 seconds[-] 34, ;
System Uptime[ms] 41044,System VBATTcell0[V] 3.95,System VBATTcell1[V] 3.88,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.80,Airdata AoA[deg] -3.55,Airdata AoS[deg] -0.61,Airdata VCAS[m/s] 3.29,Airdata VTAS[m/s] 3.31,BMP280_0 P[Pa] 100198.29, BMP280_0 Tpackage[C] 23.10, HTU21DF_0 RH[%] 75.91, HTU21DF_0 Tpackage[C] 22.31, D6F-PH0025AD1_0 q[Pa] 6.81, D6F-PH0025AD1_0 Tpackage[C] 17.30, D6F-PH0025AD1_1 q[Pa] 6.35, D6F-PH0025AD1_1 Tpackage[C] 18.20, D6F-PH0025AD1_2 q[Pa] 5.75, D6F-PH0025AD1_2 Tpackage[C] 17.50, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.03, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1872711182, GPS_0 longitude[deg] -1.0398119688, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 17, GPS_0 seconds[-] 34, ;
System Uptime[ms] 41501,System VBATTcell0[V] 3.95,System VBATTcell1[V] 3.88,System VBATTcell2[V] 3.90,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.81,Airdata AoA[deg] -10.46,Airdata AoS[deg] -6.19,Airdata VCAS[m/s] 3.22,Airdata VTAS[m/s] 3.25,BMP280_0 P[Pa] 100199.08, BMP280_0 Tpackage[C] 23.11, HTU21DF_0 RH[%] 74.68, HTU21DF_0 Tpackage[C] 22.32, D6F-PH0025AD1_0 q[Pa] 5.91, D6F-PH0025AD1_0 Tpackage[C] 17.50, D6F-PH0025AD1_1 q[Pa] 4.76, D6F-PH0025AD1_1 Tpackage[C] 18.00, D6F-PH0025AD1_2 q[Pa] 4.93, D6F-PH0025AD1_2 Tpackage[C] 17.50, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.03, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1872711182, GPS_0 longitude[deg] -1.0398119688, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 17, GPS_0 seconds[-] 34, ;
