System Uptime[ms] 248137,System VBATTcell0[V] 3.94,System VBATTcell1[V] 3.86,System VBATTcell2[V] 3.87,Airdata rho[kg/m3] 1.21,Airdata T[C] 15.44,Airdata AoA[deg] 9.93,Airdata AoS[deg] 1.50,Airdata VCAS[m/s] 2.72,Airdata VTAS[m/s] 2.74,BMP280_0 P[Pa] 100206.72, BMP280_0 Tpackage[C] 23.74, HTU21DF_0 RH[%] 57.80, HTU21DF_0 Tpackage[C] 23.41, D6F-PH0025AD1_0 q[Pa] 5.65, D6F-PH0025AD1_0 Tpackage[C] 18.80, D6F-PH0025AD1_1 q[Pa] 4.69, D6F-PH0025AD1_1 Tpackage[C] 19.20, D6F-PH0025AD1_2 q[Pa] 5.68, D6F-PH0025AD1_2 Tpackage[C] 18.50, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.11, GPS_0 satellites[-] 8, GPS_0 latitude[deg] 51.1873092651, GPS_0 longitude[deg] -1.0390558243, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 58, GPS_0 seconds[-] 2, ;
System Uptime[ms] 248634,System VBATTcell0[V] 3.93,System VBATTcell1[V] 3.87,System VBATTcell2[V] 3.87,Airdata rho[kg/m3] 1.21,Airdata T[C] 15.44,Airdata AoA[deg] -6.58,Airdata AoS[deg] -7.62,Airdata VCAS[m/s] 2.64,Airdata VTAS[m/s] 2.66,BMP280_0 P[Pa] 100211.05, BMP280_0 Tpackage[C] 23.74, HTU21DF_0 RH[%] 57.77, HTU21DF_0 Tpackage[C] 23.40, D6F-PH0025AD1_0 q[Pa] 3.36, D6F-PH0025AD1_0 Tpackage[C] 18.80, D6F-PH0025AD1_1 q[Pa] 3.23, D6F-PH0025AD1_1 Tpackage[C] 19.20, D6F-PH0025AD1_2 q[Pa] 3.88, D6F-PH0025AD1_2 Tpackage[C] 18.50, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.11, GPS_0 satellites[-] 8, GPS_0 latitude[deg] 51.1873092651, GPS_0 longitude[deg] -1.0390563011, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 58, GPS_0 seconds[-] 3, ;
System Uptime[ms] 249091,System VBATTcell0[V] 3.93,System VBATTcell1[V] 3.85,System VBATTcell2[V] 3.88,Airdata rho[kg/m3] 1.21,Airdata T[C] 15.45,Airdata AoA[deg] 16.42,Airdata AoS[deg] 4.04,Airdata VCAS[m/s] 2.63,Airdata VTAS[m/s] 2.65,BMP280_0 P[Pa] 100211.48, BMP280_0 Tpackage[C] 23.75, HTU21DF_0 RH[%] 57.87, HTU21DF_0 Tpackage[C] 23.41, D6F-PH0025AD1_0 q[Pa] 3.67, D6F-PH0025AD1_0 Tpackage[C] 18.80, D6F-PH0025AD1_1 q[Pa] 4.63, D6F-PH0025AD1_1 Tpackage[C] 19.00, D6F-PH0025AD1_2 q[Pa] 5.87, D6F-PH0025AD1_2 Tpackage[C] 18.50, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.11, GPS_0 satellites[-] 8, GPS_0 latitude[deg] 51.1873092651, GPS_0 longitude[deg] -1.0390563011, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 58, GPS_0 seconds[-] 3, ;
System Uptime[ms] 249548,System VBATTcell0[V] 3.93,System VBATTcell1[V] 3.86,System VBATTcell2[V] 3.88,Airdata rho[kg/m3] 1.21,Airdata T[C] 15.46,Airdata AoA[deg] 1.61,Airdata AoS[deg] -5.46,Airdata VCAS[m/s] 2.81,Airdata VTAS[m/s] 2.83,BMP280_0 P[Pa] 100211.52, BMP280_0 Tpackage[C] 23.76, HTU21DF_0 RH[%] 57.99, HTU21DF_0 Tpackage[C] 23.43, D6F-PH0025AD1_0 q[Pa] 5.09, D6F-PH0025AD1_0 Tpackage[C] 18.80, D6F-PH0025AD1_1 q[Pa] 3.96, D6F-PH0025AD1_1 Tpackage[C] 19.20, D6F-PH0025AD1_2 q[Pa] 5.27, D6F-PH0025AD1_2 Tpackage[C] 18.50, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.11, GPS_0 satellites[-] 8, GPS_0 latitude[deg] 51.1873092651, GPS_0 longitude[deg] -1.0390558243, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 58, GPS_0 seconds[-] 4, ;
System Uptime[ms] 250005,System VBATTcell0[V] 3.93,System VBATTcell1[V] 3.86,System VBATTcell2[V] 3.88,Airdata rho[kg/m3] 1.21,Airdata T[C] 15.48,Airdata AoA[deg] -0.31,Airdata AoS[deg] 2.41,Airdata VCAS[m/s] 2.85,Airdata VTAS[m/s] 2.88,BMP280_0 P[Pa] 100212.15, BMP280_0 Tpackage[C] 23.78, HTU21DF_0 RH[%] 58.06, HTU21DF_0 Tpackage[C] 23.43, D6F-PH0025AD1_0 q[Pa] 5.35, D6F-PH0025AD1_0 Tpackage[C] 18.80, D6F-PH0025AD1_1 q[Pa] 5.36, D6F-PH0025AD1_1 Tpackage[C] 19.00, D6F-PH0025AD1_2 q[Pa] 4.76, D6F-PH0025AD1_2 Tpackage[C] 18.50, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.11, GPS_0 satellites[-] 8, GPS_0 latitude[deg] 51.1873092651, GPS_0 longitude[deg] -1.0390558243, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 58, GPS_0 seconds[-] 4, ;
System Uptime[ms] 250462,System VBATTcell0[V] 3.93,System VBATTcell1[V] 3.86,System VBATTcell2[V] 3.87,Airdata rho[kg/m3] 1.21,Airdata T[C] 15.49,Airdata AoA[deg] 9.17,Airdata AoS[deg] 8.10,Airdata VCAS[m/s] 2.93,Airdata VTAS[m/s] 2.96,BMP280_0 P[Pa] 100213.69, BMP280_0 Tpackage[C] 23.79, HTU21DF_0 RH[%] 58.12, HTU21DF_0 Tpackage[C] 23.44, D6F-PH0025AD1_0 q[Pa] 4.89, D6F-PH0025AD1_0 Tpackage[C] 18.80, D6F-PH0025AD1_1 q[Pa] 6.69, D6F-PH0025AD1_1 Tpackage[C] 19.00, D6F-PH0025AD1_2 q[Pa] 6.38, D6F-PH0025AD1_2 Tpackage[C] 18.30, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.11, GPS_0 satellites[-] 8, GPS_0 latitude[deg] 51.1873092651, GPS_0 longitude[deg] -1.0390554667, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 58, GPS_0 seconds[-] 5, ;
System Uptime[ms] 250944,System VBATTcell0[V] 3.93,System VBATTcell1[V] 3.86,System VBATTcell2[V] 3.88,Airdata rho[kg/m3] 1.21,Airdata T[C] 15.49,Airdata AoA[deg] -14.67,Airdata AoS[deg] -9.71,Airdata VCAS[m/s] 3.03,Airdata VTAS[m/s] 3.05,BMP280_0 P[Pa] 100210.73, BMP280_0 Tpackage[C] 23.79, HTU21DF_0 RH[%] 58.06, HTU21DF_0 Tpackage[C] 23.45, D6F-PH0025AD1_0 q[Pa] 5.14, D6F-PH0025AD1_0 Tpackage[C] 18.80, D6F-PH0025AD1_1 q[Pa] 3.75, D6F-PH0025AD1_1 Tpackage[C] 19.00, D6F-PH0025AD1_2 q[Pa] 4.19, D6F-PH0025AD1_2 Tpackage[C] 18.50, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.11, GPS_0 satellites[-] 8, GPS_0 latitude[deg] 51.1873092651, GPS_0 longitude[deg] -1.0390554667, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 58, GPS_0 seconds[-] 5, ;
System Uptime[ms] 251401,System VBATTcell0[V] 3.93,System VBATTcell1[V] 3.85,System VBATTcell2[V] 3.88,Airdata rho[kg/m3] 1.21,Airdata T[C] 15.49,Airdata AoA[deg] -0.48,Airdata AoS[deg] -1.24,Airdata VCAS[m/s] 3.04,Airdata VTAS[m/s] 3.07,BMP280_0 P[Pa] 100209.73, BMP280_0 Tpackage[C] 23.79, HTU21DF_0 RH[%] 57.96, HTU21DF_0 Tpackage[C] 23.46, D6F-PH0025AD1_0 q[Pa] 7.00, D6F-PH0025AD1_0 Tpackage[C] 18.80, D6F-PH0025AD1_1 q[Pa] 5.41, D6F-PH0025AD1_1 Tpackage[C] 19.00, D6F-PH0025AD1_2 q[Pa] 5.57, D6F-PH0025AD1_2 Tpackage[C] 18.50, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.11, GPS_0 satellites[-] 8, GPS_0 latitude[deg] 51.1873092651, GPS_0 longitude[deg] -1.0390549898, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 58, GPS_0 seconds[-] 6, ;
System Uptime[ms] 251858,System VBATTcell0[V] 3.93,System VBATTcell1[V] 3.86,System VBATTcell2[V] 3.88,Airdata rho[kg/m3] 1.21,Airdata T[C] 15.50,Airdata AoA[deg] 7.57,Airdata AoS[deg] -1.84,Airdata VCAS[m/s] 3.20,Airdata VTAS[m/s] 3.23,BMP280_0 P[Pa] 100213.90, BMP280_0 Tpackage[C] 23.80, HTU21DF_0 RH[%] 57.93, HTU21DF_0 Tpackage[C] 23.45, D6F-PH0025AD1_0 q[Pa] 6.88, D6F-PH0025AD1_0 Tpackage[C] 18.80, D6F-PH0025AD1_1 q[Pa] 5.88, D6F-PH0025AD1_1 Tpackage[C] 19.20, D6F-PH0025AD1_2 q[Pa] 7.51, D6F-PH0025AD1_2 Tpackage[C] 18.50, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.11, GPS_0 satellites[-] 8, GPS_0 latitude[deg] 51.1873092651, GPS_0 longitude[deg] -1.0390549898, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 0, GPS_0 minutes[-] 0, GPS_0 seconds[-] 1, ;
System Uptime[ms] 252315,System VBATTcell0[V] 3.93,System VBATTcell1[V] 3.86,System VBATTcell2[V] 3.88,Airdata rho[kg/m3] 1.20,Airdata T[C] 15.51,Airdata AoA[deg] -4.56,Airdata AoS[deg] 1.19,Airdata VCAS[m/s] 3.36,Airdata VTAS[m/s] 3.39,BMP280_0 P[Pa] 100212.65, BMP280_0 Tpackage[C] 23.81, HTU21DF_0 RH[%] 57.82, HTU21DF_0 Tpackage[C] 23.46, D6F-PH0025AD1_0 q[Pa] 7.85, D6F-PH0025AD1_0 Tpackage[C] 18.80, D6F-PH0025AD1_1 q[Pa] 7.00, D6F-PH0025AD1_1 Tpackage[C] 19.00, D6F-PH0025AD1_2 q[Pa] 5.98, D6F-PH0025AD1_2 Tpackage[C] 18.50, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.11, GPS_0 satellites[-] 8, GPS_0 latitude[deg] 51.1873092651, GPS_0 longitude[deg] -1.0390549898, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 0, GPS_0 minutes[-] 0, GPS_0 seconds[-] 1, ;
System Uptime[ms] 252772,System VBATTcell0[V] 3.93,System VBATTcell1[V] 3.86,System VBATTcell2[V] 3.88,Airdata rho[kg/m3] 1.20,Airdata T[C] 15.51,Airdata AoA[deg] 9.03,Airdata AoS[deg] 2.64,Airdata VCAS[m/s] 3.49,Airdata VTAS[m/s] 3.51,BMP280_0 P[Pa] 100209.61, BMP280_0 Tpackage[C] 23.81, HTU21DF_0 RH[%] 57.84, HTU21DF_0 Tpackage[C] 23.47, D6F-PH0025AD1_0 q[Pa] 7.48, D6F-PH0025AD1_0 Tpackage[C] 18.80, D6F-PH0025AD1_1 q[Pa] 7.92, D6F-PH0025AD1_1 Tpackage[C] 19.00, D6F-PH0025AD1_2 q[Pa] 8.90, D6F-PH0025AD1_2 Tpackage[C] 18.50, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.11, GPS_0 satellites[-] 8, GPS_0 latitude[deg] 51.1873092651, GPS_0 longitude[deg] -1.0390549898, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 58, GPS_0 seconds[-] 7, ;
