System Uptime[ms] 11437,System VBATTcell0[V] 3.93,System VBATTcell1[V] 3.86,System VBATTcell2[V] 3.88,Airdata rho[kg/m3] 1.22,Airdata T[C] 11.38,Airdata AoA[deg] 4.24,Airdata AoS[deg] -0.74,Airdata VCAS[m/s] 3.39,Airdata VTAS[m/s] 3.40,BMP280_0 P[Pa] 100226.83, BMP280_0 Tpackage[C] 19.68, HTU21DF_0 RH[%] 76.08, HTU21DF_0 Tpackage[C] 17.85, D6F-PH0025AD1_0 q[Pa] 7.21, D6F-PH0025AD1_0 Tpackage[C] 17.10, D6F-PH0025AD1_1 q[Pa] 6.80, D6F-PH0025AD1_1 Tpackage[C] 17.80, D6F-PH0025AD1_2 q[Pa] 8.02, D6F-PH0025AD1_2 Tpackage[C] 17.30, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.12, GPS_0 satellites[-] -1, GPS_0 latitude[deg] 51.1873054504, GPS_0 longitude[deg] -1.0388866663, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 7, GPS_0 minutes[-] 6, GPS_0 seconds[-] 30, ;
System Uptime[ms] 11933,System VBATTcell0[V] 3.94,System VBATTcell1[V] 3.86,System VBATTcell2[V] 3.88,Airdata rho[kg/m3] 1.22,Airdata T[C] 11.39,Airdata AoA[deg] -4.81,Airdata AoS[deg] -1.85,Airdata VCAS[m/s] 3.41,Airdata VTAS[m/s] 3.41,BMP280_0 P[Pa] 100231.52, BMP280_0 Tpackage[C] 19.69, HTU21DF_0 RH[%] 75.99, HTU21DF_0 Tpackage[C] 17.88, D6F-PH0025AD1_0 q[Pa] 7.14, D6F-PH0025AD1_0 Tpackage[C] 17.10, D6F-PH0025AD1_1 q[Pa] 6.46, D6F-PH0025AD1_1 Tpackage[C] 17.50, D6F-PH0025AD1_2 q[Pa] 6.05, D6F-PH0025AD1_2 Tpackage[C] 17.30, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.12, GPS_0 satellites[-] -1, GPS_0 latitude[deg] 51.1873054504, GPS_0 longitude[deg] -1.0388866663, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 7, GPS_0 minutes[-] 6, GPS_0 seconds[-] 30, ;
System Uptime[ms] 12389,System VBATTcell0[V] 3.93,System VBATTcell1[V] 3.86,System VBATTcell2[V] 3.87,Airdata rho[kg/m3] 1.22,Airdata T[C] 11.40,Airdata AoA[deg] -3.36,Airdata AoS[deg] -3.47,Airdata VCAS[m/s] 3.26,Airdata VTAS[m/s] 3.26,BMP280_0 P[Pa] 100231.30, BMP280_0 Tpackage[C] 19.70, HTU21DF_0 RH[%] 75.89, HTU21DF_0 Tpackage[C] 17.88, D6F-PH0025AD1_0 q[Pa] 5.74, D6F-PH0025AD1_0 Tpackage[C] 16.90, D6F-PH0025AD1_1 q[Pa] 5.62, D6F-PH0025AD1_1 Tpackage[C] 17.80, D6F-PH0025AD1_2 q[Pa] 6.05, D6F-PH0025AD1_2 Tpackage[C] 17.30, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.12, GPS_0 satellites[-] -1, GPS_0 latitude[deg] 51.1873054504, GPS_0 longitude[deg] -1.0388888121, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 7, GPS_0 minutes[-] 6, GPS_0 seconds[-] 31, ;
System Uptime[ms] 12846,System VBATTcell0[V] 3.94,System VBATTcell1[V] 3.85,System VBATTcell2[V] 3.88,Airdata rho[kg/m3] 1.22,Airdata T[C] 11.40,Airdata AoA[deg] -0.95,Airdata AoS[deg] -2.70,Airdata VCAS[m/s] 3.22,Airdata VTAS[m/s] 3.23,BMP280_0 P[Pa] 100231.09, BMP280_0 Tpackage[C] 19.70, HTU21DF_0 RH[%] 75.76, HTU21DF_0 Tpackage[C] 17.89, D6F-PH0025AD1_0 q[Pa] 6.62, D6F-PH0025AD1_0 Tpackage[C] 17.10, D6F-PH0025AD1_1 q[Pa] 5.57, D6F-PH0025AD1_1 Tpackage[C] 17.80, D6F-PH0025AD1_2 q[Pa] 6.33, D6F-PH0025AD1_2 Tpackage[C] 17.30, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.12, GPS_0 satellites[-] -1, GPS_0 latitude[deg] 51.1873054504, GPS_0 longitude[deg] -1.0388888121, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 7, GPS_0 minutes[-] 6, GPS_0 seconds[-] 31, ;
System Uptime[ms] 13303,System VBATTcell0[V] 3.94,System VBATTcell1[V] 3.85,System VBATTcell2[V] 3.88,Airdata rho[kg/m3] 1.22,Airdata T[C] 11.41,Airdata AoA[deg] 0.93,Airdata AoS[deg] -2.17,Airdata VCAS[m/s] 3.19,Airdata VTAS[m/s] 3.20,BMP280_0 P[Pa] 100228.25, BMP280_0 Tpackage[C] 19.71, HTU21DF_0 RH[%] 75.61, HTU21DF_0 Tpackage[C] 17.90, D6F-PH0025AD1_0 q[Pa] 6.05, D6F-PH0025AD1_0 Tpackage[C] 17.10, D6F-PH0025AD1_1 q[Pa] 5.53, D6F-PH0025AD1_1 Tpackage[C] 17.80, D6F-PH0025AD1_2 q[Pa] 6.63, D6F-PH0025AD1_2 Tpackage[C] 17.30, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.12, GPS_0 satellites[-] -1, GPS_0 latitude[deg] 51.1873054504, GPS_0 longitude[deg] -1.0388909578, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 7, GPS_0 minutes[-] 6, GPS_0 seconds[-] 32, ;
System Uptime[ms] 13760,System VBATTcell0[V] 3.94,System VBATTcell1[V] 3.86,System VBATTcell2[V] 3.87,Airdata rho[kg/m3] 1.22,Airdata T[C] 11.41,Airdata AoA[deg] -0.16,Airdata AoS[deg] 1.20,Airdata VCAS[m/s] 3.24,Airdata VTAS[m/s] 3.25,BMP280_0 P[Pa] 100226.97, BMP280_0 Tpackage[C] 19.71, HTU21DF_0 RH[%] 75.51, HTU21DF_0 Tpackage[C] 17.90, D6F-PH0025AD1_0 q[Pa] 7.10, D6F-PH0025AD1_0 Tpackage[C] 17.10, D6F-PH0025AD1_1 q[Pa] 6.69, D6F-PH0025AD1_1 Tpackage[C] 17.80, D6F-PH0025AD1_2 q[Pa] 6.22, D6F-PH0025AD1_2 Tpackage[C] 17.30, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.12, GPS_0 satellites[-] -1, GPS_0 latitude[deg] 51.1873054504, GPS_0 longitude[deg] -1.0388909578, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 7, GPS_0 minutes[-] 6, GPS_0 seconds[-] 32, ;
System Uptime[ms] 14242,System VBATTcell0[V] 3.93,System VBATTcell1[V] 3.86,System VBATTcell2[V] 3.87,Airdata rho[kg/m3] 1.22,Airdata T[C] 11.41,Airdata AoA[deg] -0.73,Airdata AoS[deg] -2.07,Airdata VCAS[m/s] 3.22,Airdata VTAS[m/s] 3.23,BMP280_0 P[Pa] 100224.86, BMP280_0 Tpackage[C] 19.71, HTU21DF_0 RH[%] 75.44, HTU21DF_0 Tpackage[C] 17.91, D6F-PH0025AD1_0 q[Pa] 5.95, D6F-PH0025AD1_0 Tpackage[C] 17.10, D6F-PH0025AD1_1 q[Pa] 5.63, D6F-PH0025AD1_1 Tpackage[C] 17.80, D6F-PH0025AD1_2 q[Pa] 6.33, D6F-PH0025AD1_2 Tpackage[C] 17.30, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.12, GPS_0 satellites[-] -1, GPS_0 latitude[deg] 51.1873054504, GPS_0 longitude[deg] -1.0388921499, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 7, GPS_0 minutes[-] 6, GPS_0 seconds[-] 33, ;
System Uptime[ms] 14699,System VBATTcell0[V] 3.94,System VBATTcell1[V] 3.85,System VBATTcell2[V] 3.88,Airdata rho[kg/m3] 1.22,Airdata T[C] 11.42,Airdata AoA[deg] 0.89,Airdata AoS[deg] -1.12,Airdata VCAS[m/s] 3.19,Airdata VTAS[m/s] 3.19,BMP280_0 P[Pa] 100226.11, BMP280_0 Tpackage[C] 19.72, HTU21DF_0 RH[%] 75.38, HTU21DF_0 Tpackage[C] 17.92, D6F-PH0025AD1_0 q[Pa] 5.84, D6F-PH0025AD1_0 Tpackage[C] 17.10, D6F-PH0025AD1_1 q[Pa] 5.79, D6F-PH0025AD1_1 Tpackage[C] 17.80, D6F-PH0025AD1_2 q[Pa] 6.53, D6F-PH0025AD1_2 Tpackage[C] 17.30, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.12, GPS_0 satellites[-] 9, GPS_0 latitude[deg] 51.1873054504, GPS_0 longitude[deg] -1.0388921499, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 7, GPS_0 minutes[-] 6, GPS_0 seconds[-] 33, ;
System Uptime[ms] 15156,System VBATTcell0[V] 3.93,System VBATTcell1[V] 3.86,System VBATTcell2[V] 3.87,Airdata rho[kg/m3] 1.22,Airdata T[C] 11.43,Airdata AoA[deg] 1.04,Airdata AoS[deg] -3.48,Airdata VCAS[m/s] 3.23,Airdata VTAS[m/s] 3.23,BMP280_0 P[Pa] 100227.00, BMP280_0 Tpackage[C] 19.73, HTU21DF_0 RH[%] 75.34, HTU21DF_0 Tpackage[C] 17.94, D6F-PH0025AD1_0 q[Pa] 6.75, D6F-PH0025AD1_0 Tpackage[C] 17.10, D6F-PH0025AD1_1 q[Pa] 5.37, D6F-PH0025AD1_1 Tpackage[C] 17.80, D6F-PH0025AD1_2 q[Pa] 6.87, D6F-PH0025AD1_2 Tpackage[C] 17.50, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.11, GPS_0 satellites[-] 9, GPS_0 latitude[deg] 51.1873054504, GPS_0 longitude[deg] -1.0388928652, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 7, GPS_0 minutes[-] 6, GPS_0 seconds[-] 34, ;
System Uptime[ms] 15613,System VBATTcell0[V] 3.94,System VBATTcell1[V] 3.86,System VBATTcell2[V] 3.87,Airdata rho[kg/m3] 1.22,Airdata T[C] 11.44,Airdata AoA[deg] 24.07,Airdata AoS[deg] 0.47,Airdata VCAS[m/s] 3.64,Airdata VTAS[m/s] 3.65,BMP280_0 P[Pa] 100228.42, BMP280_0 Tpackage[C] 19.74, HTU21DF_0 RH[%] 75.33, HTU21DF_0 Tpackage[C] 17.94, D6F-PH0025AD1_0 q[Pa] 7.76, D6F-PH0025AD1_0 Tpackage[C] 17.10, D6F-PH0025AD1_1 q[Pa] 7.67, D6F-PH0025AD1_1 Tpackage[C] 17.80, D6F-PH0025AD1_2 q[Pa] 11.86, D6F-PH0025AD1_2 Tpackage[C] 17.50, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.11, GPS_0 satellites[-] 9, GPS_0 latitude[deg] 51.1873054504, GPS_0 longitude[deg] -1.0388928652, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 7, GPS_0 minutes[-] 6, GPS_0 seconds[-] 34, ;
System Uptime[ms] 16070,System VBATTcell0[V] 3.93,System VBATTcell1[V] 3.86,System VBATTcell2[V] 3.87,Airdata rho[kg/m3] 1.22,Airdata T[C] 11.44,Airdata AoA[deg] 14.26,Airdata AoS[deg] -5.33,Airdata VCAS[m/s] 4.34,Airdata VTAS[m/s] 4.34,BMP280_0 P[Pa] 100229.39, BMP280_0 Tpackage[C] 19.74, HTU21DF_0 RH[%] 75.27, HTU21DF_0 Tpackage[C] 17.96, D6F-PH0025AD1_0 q[Pa] 11.40, D6F-PH0025AD1_0 Tpackage[C] 17.10, D6F-PH0025AD1_1 q[Pa] 10.13, D6F-PH0025AD1_1 Tpackage[C] 18.00, D6F-PH0025AD1_2 q[Pa] 13.89, D6F-PH0025AD1_2 Tpackage[C] 17.30, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.12, GPS_0 satellites[-] 9, GPS_0 latitude[deg] 51.1873054504, GPS_0 longitude[deg] -1.0388928652, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 7, GPS_0 minutes[-] 6, GPS_0 seconds[-] 34, ;
