System Uptime[ms] 36834,System VBATTcell0[V] 3.92,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.86,Airdata rho[kg/m3] 1.19,Airdata T[C] 17.85,Airdata AoA[deg] 4.23,Airdata AoS[deg] 1.21,Airdata VCAS[m/s] 2.33,Airdata VTAS[m/s] 2.36,BMP280_0 P[Pa] 100213.91, BMP280_0 Tpackage[C] 26.15, HTU21DF_0 RH[%] 53.96, HTU21DF_0 Tpackage[C] 25.73, D6F-PH0025AD1_0 q[Pa] 3.55, D6F-PH0025AD1_0 Tpackage[C] 20.60, D6F-PH0025AD1_1 q[Pa] 3.53, D6F-PH0025AD1_1 Tpackage[C] 20.60, D6F-PH0025AD1_2 q[Pa] 3.92, D6F-PH0025AD1_2 Tpackage[C] 19.80, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] -1, GPS_0 latitude[deg] 51.1873092651, GPS_0 longitude[deg] -1.0388934612, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 7, GPS_0 minutes[-] 11, GPS_0 seconds[-] 25, ;
System Uptime[ms] 37330,System VBATTcell0[V] 3.92,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.86,Airdata rho[kg/m3] 1.20,Airdata T[C] 17.87,Airdata AoA[deg] 1.41,Airdata AoS[deg] -1.64,Airdata VCAS[m/s] 2.38,Airdata VTAS[m/s] 2.41,BMP280_0 P[Pa] 100242.06, BMP280_0 Tpackage[C] 26.17, HTU21DF_0 RH[%] 54.10, HTU21DF_0 Tpackage[C] 25.75, D6F-PH0025AD1_0 q[Pa] 3.61, D6F-PH0025AD1_0 Tpackage[C] 20.40, D6F-PH0025AD1_1 q[Pa] 3.11, D6F-PH0025AD1_1 Tpackage[C] 20.60, D6F-PH0025AD1_2 q[Pa] 3.82, D6F-PH0025AD1_2 Tpackage[C] 20.00, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] -1, GPS_0 latitude[deg] 51.1873092651, GPS_0 longitude[deg] -1.0388934612, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 7, GPS_0 minutes[-] 11, GPS_0 seconds[-] 25, ;
System Uptime[ms] 37787,System VBATTcell0[V] 3.92,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.86,Airdata rho[kg/m3] 1.20,Airdata T[C] 17.87,Airdata AoA[deg] -7.08,Airdata AoS[deg] -4.00,Airdata VCAS[m/s] 2.33,Airdata VTAS[m/s] 2.36,BMP280_0 P[Pa] 100240.30, BMP280_0 Tpackage[C] 26.17, HTU21DF_0 RH[%] 53.91, HTU21DF_0 Tpackage[C] 25.76, D6F-PH0025AD1_0 q[Pa] 2.77, D6F-PH0025AD1_0 Tpackage[C] 20.60, D6F-PH0025AD1_1 q[Pa] 2.63, D6F-PH0025AD1_1 Tpackage[C] 20.60, D6F-PH0025AD1_2 q[Pa] 2.62, D6F-PH0025AD1_2 Tpackage[C] 20.00, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] -1, GPS_0 latitude[deg] 51.1873092651, GPS_0 longitude[deg] -1.0388938189, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 7, GPS_0 minutes[-] 11, GPS_0 seconds[-] 26, ;
System Uptime[ms] 38244,System VBATTcell0[V] 3.92,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.86,Airdata rho[kg/m3] 1.20,Airdata T[C] 17.88,Airdata AoA[deg] 10.50,Airdata AoS[deg] 3.55,Airdata VCAS[m/s] 2.33,Airdata VTAS[m/s] 2.35,BMP280_0 P[Pa] 100242.34, BMP280_0 Tpackage[C] 26.18, HTU21DF_0 RH[%] 53.68, HTU21DF_0 Tpackage[C] 25.77, D6F-PH0025AD1_0 q[Pa] 3.19, D6F-PH0025AD1_0 Tpackage[C] 20.60, D6F-PH0025AD1_1 q[Pa] 3.79, D6F-PH0025AD1_1 Tpackage[C] 20.80, D6F-PH0025AD1_2 q[Pa] 4.43, D6F-PH0025AD1_2 Tpackage[C] 19.80, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873092651, GPS_0 longitude[deg] -1.0388938189, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 7, GPS_0 minutes[-] 11, GPS_0 seconds[-] 26, ;
System Uptime[ms] 38701,System VBATTcell0[V] 3.91,System VBATTcell1[V] 3.85,System VBATTcell2[V] 3.86,Airdata rho[kg/m3] 1.20,Airdata T[C] 17.89,Airdata AoA[deg] -0.60,Airdata AoS[deg] -2.43,Airdata VCAS[m/s] 2.38,Airdata VTAS[m/s] 2.41,BMP280_0 P[Pa] 100242.42, BMP280_0 Tpackage[C] 26.19, HTU21DF_0 RH[%] 53.45, HTU21DF_0 Tpackage[C] 25.78, D6F-PH0025AD1_0 q[Pa] 3.34, D6F-PH0025AD1_0 Tpackage[C] 20.60, D6F-PH0025AD1_1 q[Pa] 3.00, D6F-PH0025AD1_1 Tpackage[C] 20.60, D6F-PH0025AD1_2 q[Pa] 3.51, D6F-PH0025AD1_2 Tpackage[C] 19.80, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873092651, GPS_0 longitude[deg] -1.0388938189, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 7, GPS_0 minutes[-] 11, GPS_0 seconds[-] 26, ;
System Uptime[ms] 39158,System VBATTcell0[V] 3.92,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.86,Airdata rho[kg/m3] 1.20,Airdata T[C] 17.90,Airdata AoA[deg] 6.88,Airdata AoS[deg] 3.23,Airdata VCAS[m/s] 2.44,Airdata VTAS[m/s] 2.47,BMP280_0 P[Pa] 100241.17, BMP280_0 Tpackage[C] 26.20, HTU21DF_0 RH[%] 53.20, HTU21DF_0 Tpackage[C] 25.79, D6F-PH0025AD1_0 q[Pa] 3.96, D6F-PH0025AD1_0 Tpackage[C] 20.60, D6F-PH0025AD1_1 q[Pa] 4.16, D6F-PH0025AD1_1 Tpackage[C] 20.80, D6F-PH0025AD1_2 q[Pa] 4.43, D6F-PH0025AD1_2 Tpackage[C] 20.00, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873130798, GPS_0 longitude[deg] -1.0388938189, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 7, GPS_0 minutes[-] 11, GPS_0 seconds[-] 27, ;
System Uptime[ms] 39640,System VBATTcell0[V] 3.91,System VBATTcell1[V] 3.85,System VBATTcell2[V] 3.86,Airdata rho[kg/m3] 1.20,Airdata T[C] 17.91,Airdata AoA[deg] -0.91,Airdata AoS[deg] -1.32,Airdata VCAS[m/s] 2.46,Airdata VTAS[m/s] 2.49,BMP280_0 P[Pa] 100242.83, BMP280_0 Tpackage[C] 26.21, HTU21DF_0 RH[%] 52.91, HTU21DF_0 Tpackage[C] 25.80, D6F-PH0025AD1_0 q[Pa] 3.34, D6F-PH0025AD1_0 Tpackage[C] 20.60, D6F-PH0025AD1_1 q[Pa] 3.42, D6F-PH0025AD1_1 Tpackage[C] 20.60, D6F-PH0025AD1_2 q[Pa] 3.61, D6F-PH0025AD1_2 Tpackage[C] 20.00, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873130798, GPS_0 longitude[deg] -1.0388938189, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 7, GPS_0 minutes[-] 11, GPS_0 seconds[-] 27, ;
System Uptime[ms] 40096,System VBATTcell0[V] 3.92,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.86,Airdata rho[kg/m3] 1.20,Airdata T[C] 17.91,Airdata AoA[deg] 9.67,Airdata AoS[deg] 1.29,Airdata VCAS[m/s] 2.48,Airdata VTAS[m/s] 2.51,BMP280_0 P[Pa] 100245.97, BMP280_0 Tpackage[C] 26.21, HTU21DF_0 RH[%] 52.72, HTU21DF_0 Tpackage[C] 25.81, D6F-PH0025AD1_0 q[Pa] 3.40, D6F-PH0025AD1_0 Tpackage[C] 20.40, D6F-PH0025AD1_1 q[Pa] 3.95, D6F-PH0025AD1_1 Tpackage[C] 20.80, D6F-PH0025AD1_2 q[Pa] 5.15, D6F-PH0025AD1_2 Tpackage[C] 20.00, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873130798, GPS_0 longitude[deg] -1.0388941765, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 7, GPS_0 minutes[-] 11, GPS_0 seconds[-] 28, ;
System Uptime[ms] 40553,System VBATTcell0[V] 3.91,System VBATTcell1[V] 3.85,System VBATTcell2[V] 3.86,Airdata rho[kg/m3] 1.20,Airdata T[C] 17.91,Airdata AoA[deg] 11.14,Airdata AoS[deg] 4.12,Airdata VCAS[m/s] 2.70,Airdata VTAS[m/s] 2.73,BMP280_0 P[Pa] 100242.88, BMP280_0 Tpackage[C] 26.21, HTU21DF_0 RH[%] 52.54, HTU21DF_0 Tpackage[C] 25.81, D6F-PH0025AD1_0 q[Pa] 4.80, D6F-PH0025AD1_0 Tpackage[C] 20.60, D6F-PH0025AD1_1 q[Pa] 5.00, D6F-PH0025AD1_1 Tpackage[C] 20.80, D6F-PH0025AD1_2 q[Pa] 5.67, D6F-PH0025AD1_2 Tpackage[C] 19.80, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873130798, GPS_0 longitude[deg] -1.0388941765, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 7, GPS_0 minutes[-] 11, GPS_0 seconds[-] 28, ;
System Uptime[ms] 41010,System VBATTcell0[V] 3.92,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.86,Airdata rho[kg/m3] 1.20,Airdata T[C] 17.92,Airdata AoA[deg] -2.86,Airdata AoS[deg] -4.21,Airdata VCAS[m/s] 2.70,Airdata VTAS[m/s] 2.73,BMP280_0 P[Pa] 100243.70, BMP280_0 Tpackage[C] 26.22, HTU21DF_0 RH[%] 52.37, HTU21DF_0 Tpackage[C] 25.81, D6F-PH0025AD1_0 q[Pa] 3.96, D6F-PH0025AD1_0 Tpackage[C] 20.60, D6F-PH0025AD1_1 q[Pa] 3.74, D6F-PH0025AD1_1 Tpackage[C] 20.80, D6F-PH0025AD1_2 q[Pa] 4.28, D6F-PH0025AD1_2 Tpackage[C] 19.80, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873130798, GPS_0 longitude[deg] -1.0388942957, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 7, GPS_0 minutes[-] 11, GPS_0 seconds[-] 29, ;
System Uptime[ms] 41467,System VBATTcell0[V] 3.92,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.88,Airdata rho[kg/m3] 1.20,Airdata T[C] 17.93,Airdata AoA[deg] -4.13,Airdata AoS[deg] -2.41,Airdata VCAS[m/s] 2.59,Airdata VTAS[m/s] 2.63,BMP280_0 P[Pa] 100245.58, BMP280_0 Tpackage[C] 26.23, HTU21DF_0 RH[%] 52.21, HTU21DF_0 Tpackage[C] 25.81, D6F-PH0025AD1_0 q[Pa] 3.70, D6F-PH0025AD1_0 Tpackage[C] 20.60, D6F-PH0025AD1_1 q[Pa] 3.63, D6F-PH0025AD1_1 Tpackage[C] 20.60, D6F-PH0025AD1_2 q[Pa] 3.61, D6F-PH0025AD1_2 Tpackage[C] 20.00, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873130798, GPS_0 longitude[deg] -1.0388942957, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 7, GPS_0 minutes[-] 11, GPS_0 seconds[-] 29, ;
