System Uptime[ms] 72614,System VBATTcell0[V] 3.93,System VBATTcell1[V] 3.88,System VBATTcell2[V] 3.81,Airdata rho[kg/m3] 1.19,Airdata T[C] 17.16,Airdata AoA[deg] -3.97,Airdata AoS[deg] -2.24,Airdata VCAS[m/s] 0.11,Airdata VTAS[m/s] 0.14,BMP280_0 P[Pa] 99809.14, BMP280_0 Tpackage[C] 25.46, HTU21DF_0 RH[%] 54.73, HTU21DF_0 Tpackage[C] 24.39, D6F-PH0025AD1_0 q[Pa] 0.00, D6F-PH0025AD1_0 Tpackage[C] 23.90, D6F-PH0025AD1_1 q[Pa] 0.00, D6F-PH0025AD1_1 Tpackage[C] 24.90, D6F-PH0025AD1_2 q[Pa] 0.00, D6F-PH0025AD1_2 Tpackage[C] 24.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.05, GPS_0 satellites[-] 5, GPS_0 latitude[deg] 51.1805915833, GPS_0 longitude[deg] -1.0339568853, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 28, GPS_0 hours[-] 17, GPS_0 minutes[-] 8, GPS_0 seconds[-] 27, ;
System Uptime[ms] 73134,System VBATTcell0[V] 3.93,System VBATTcell1[V] 3.88,System VBATTcell2[V] 3.81,Airdata rho[kg/m3] 1.19,Airdata T[C] 17.16,Airdata AoA[deg] -3.77,Airdata AoS[deg] -2.12,Airdata VCAS[m/s] 0.11,Airdata VTAS[m/s] 0.14,BMP280_0 P[Pa] 99804.97, BMP280_0 Tpackage[C] 25.46, HTU21DF_0 RH[%] 55.02, HTU21DF_0 Tpackage[C] 24.39, D6F-PH0025AD1_0 q[Pa] 0.00, D6F-PH0025AD1_0 Tpackage[C] 23.90, D6F-PH0025AD1_1 q[Pa] 0.00, D6F-PH0025AD1_1 Tpackage[C] 24.90, D6F-PH0025AD1_2 q[Pa] 0.00, D6F-PH0025AD1_2 Tpackage[C] 24.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.05, GPS_0 satellites[-] 5, GPS_0 latitude[deg] 51.1805915833, GPS_0 longitude[deg] -1.0339558125, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 28, GPS_0 hours[-] 17, GPS_0 minutes[-] 8, GPS_0 seconds[-] 28, ;
System Uptime[ms] 73591,System VBATTcell0[V] 3.94,System VBATTcell1[V] 3.87,System VBATTcell2[V] 3.82,Airdata rho[kg/m3] 1.19,Airdata T[C] 17.17,Airdata AoA[deg] -3.58,Airdata AoS[deg] -2.02,Airdata VCAS[m/s] 0.10,Airdata VTAS[m/s] 0.14,BMP280_0 P[Pa] 99808.59, BMP280_0 Tpackage[C] 25.47, HTU21DF_0 RH[%] 55.02, HTU21DF_0 Tpackage[C] 24.40, D6F-PH0025AD1_0 q[Pa] 0.00, D6F-PH0025AD1_0 Tpackage[C] 23.90, D6F-PH0025AD1_1 q[Pa] 0.00, D6F-PH0025AD1_1 Tpackage[C] 24.90, D6F-PH0025AD1_2 q[Pa] 0.00, D6F-PH0025AD1_2 Tpackage[C] 24.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.05, GPS_0 satellites[-] 5, GPS_0 latitude[deg] 51.1805915833, GPS_0 longitude[deg] -1.0339558125, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 28, GPS_0 hours[-] 17, GPS_0 minutes[-] 8, GPS_0 seconds[-] 28, ;
System Uptime[ms] 74048,System VBATTcell0[V] 3.93,System VBATTcell1[V] 3.88,System VBATTcell2[V] 3.82,Airdata rho[kg/m3] 1.19,Airdata T[C] 17.17,Airdata AoA[deg] -3.42,Airdata AoS[deg] -1.93,Airdata VCAS[m/s] 0.10,Airdata VTAS[m/s] 0.14,BMP280_0 P[Pa] 99804.45, BMP280_0 Tpackage[C] 25.47, HTU21DF_0 RH[%] 54.94, HTU21DF_0 Tpackage[C] 24.41, D6F-PH0025AD1_0 q[Pa] 0.00, D6F-PH0025AD1_0 Tpackage[C] 23.70, D6F-PH0025AD1_1 q[Pa] 0.00, D6F-PH0025AD1_1 Tpackage[C] 24.90, D6F-PH0025AD1_2 q[Pa] 0.00, D6F-PH0025AD1_2 Tpackage[C] 24.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.05, GPS_0 satellites[-] 5, GPS_0 latitude[deg] 51.1805877686, GPS_0 longitude[deg] -1.0339565277, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 28, GPS_0 hours[-] 17, GPS_0 minutes[-] 8, GPS_0 seconds[-] 29, ;
System Uptime[ms] 74505,System VBATTcell0[V] 3.93,System VBATTcell1[V] 3.88,System VBATTcell2[V] 3.81,Airdata rho[kg/m3] 1.19,Airdata T[C] 17.17,Airdata AoA[deg] -3.43,Airdata AoS[deg] -1.94,Airdata VCAS[m/s] 0.11,Airdata VTAS[m/s] 0.14,BMP280_0 P[Pa] 99803.83, BMP280_0 Tpackage[C] 25.47, HTU21DF_0 RH[%] 54.87, HTU21DF_0 Tpackage[C] 24.42, D6F-PH0025AD1_0 q[Pa] 0.10, D6F-PH0025AD1_0 Tpackage[C] 23.70, D6F-PH0025AD1_1 q[Pa] 0.00, D6F-PH0025AD1_1 Tpackage[C] 24.90, D6F-PH0025AD1_2 q[Pa] 0.00, D6F-PH0025AD1_2 Tpackage[C] 24.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.05, GPS_0 satellites[-] 5, GPS_0 latitude[deg] 51.1805877686, GPS_0 longitude[deg] -1.0339565277, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 28, GPS_0 hours[-] 17, GPS_0 minutes[-] 8, GPS_0 seconds[-] 29, ;
System Uptime[ms] 74962,System VBATTcell0[V] 3.93,System VBATTcell1[V] 3.88,System VBATTcell2[V] 3.82,Airdata rho[kg/m3] 1.19,Airdata T[C] 17.18,Airdata AoA[deg] -3.28,Airdata AoS[deg] -1.86,Airdata VCAS[m/s] 0.11,Airdata VTAS[m/s] 0.14,BMP280_0 P[Pa] 99805.08, BMP280_0 Tpackage[C] 25.48, HTU21DF_0 RH[%] 54.74, HTU21DF_0 Tpackage[C] 24.42, D6F-PH0025AD1_0 q[Pa] 0.00, D6F-PH0025AD1_0 Tpackage[C] 23.70, D6F-PH0025AD1_1 q[Pa] 0.00, D6F-PH0025AD1_1 Tpackage[C] 24.90, D6F-PH0025AD1_2 q[Pa] 0.00, D6F-PH0025AD1_2 Tpackage[C] 24.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.05, GPS_0 satellites[-] 5, GPS_0 latitude[deg] 51.1805877686, GPS_0 longitude[deg] -1.0339565277, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 28, GPS_0 hours[-] 17, GPS_0 minutes[-] 8, GPS_0 seconds[-] 30, ;
System Uptime[ms] 75444,System VBATTcell0[V] 3.93,System VBATTcell1[V] 3.88,System VBATTcell2[V] 3.82,Airdata rho[kg/m3] 1.19,Airdata T[C] 17.18,Airdata AoA[deg] -3.15,Airdata AoS[deg] -1.78,Airdata VCAS[m/s] 0.11,Airdata VTAS[m/s] 0.14,BMP280_0 P[Pa] 99807.99, BMP280_0 Tpackage[C] 25.48, HTU21DF_0 RH[%] 54.47, HTU21DF_0 Tpackage[C] 24.43, D6F-PH0025AD1_0 q[Pa] 0.00, D6F-PH0025AD1_0 Tpackage[C] 23.70, D6F-PH0025AD1_1 q[Pa] 0.00, D6F-PH0025AD1_1 Tpackage[C] 24.90, D6F-PH0025AD1_2 q[Pa] 0.00, D6F-PH0025AD1_2 Tpackage[C] 24.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.05, GPS_0 satellites[-] 5, GPS_0 latitude[deg] 51.1805877686, GPS_0 longitude[deg] -1.0339565277, GPS_0 year[-] -1, GPS_0 month[-] -1, GPS_0 day[-] -1, GPS_0 hours[-] 17, GPS_0 minutes[-] 8, GPS_0 seconds[-] 30, ;
System Uptime[ms] 75901,System VBATTcell0[V] 3.93,System VBATTcell1[V] 3.88,System VBATTcell2[V] 3.81,Airdata rho[kg/m3] 1.19,Airdata T[C] 17.19,Airdata AoA[deg] -3.18,Airdata AoS[deg] -1.80,Airdata VCAS[m/s] 0.12,Airdata VTAS[m/s] 0.14,BMP280_0 P[Pa] 99804.05, BMP280_0 Tpackage[C] 25.49, HTU21DF_0 RH[%] 54.36, HTU21DF_0 Tpackage[C] 24.43, D6F-PH0025AD1_0 q[Pa] 0.10, D6F-PH0025AD1_0 Tpackage[C] 23.70, D6F-PH0025AD1_1 q[Pa] 0.00, D6F-PH0025AD1_1 Tpackage[C] 24.90, D6F-PH0025AD1_2 q[Pa] 0.00, D6F-PH0025AD1_2 Tpackage[C] 24.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.05, GPS_0 satellites[-] 5, GPS_0 latitude[deg] 51.1805839539, GPS_0 longitude[deg] -1.0339574814, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 28, GPS_0 hours[-] 17, GPS_0 minutes[-] 8, GPS_0 seconds[-] 31, ;
System Uptime[ms] 76358,System VBATTcell0[V] 3.94,System VBATTcell1[V] 3.88,System VBATTcell2[V] 3.82,Airdata rho[kg/m3] 1.19,Airdata T[C] 17.19,Airdata AoA[deg] 19.71,Airdata AoS[deg] -1.66,Airdata VCAS[m/s] 0.12,Airdata VTAS[m/s] 0.14,BMP280_0 P[Pa] 99802.42, BMP280_0 Tpackage[C] 25.49, HTU21DF_0 RH[%] 54.30, HTU21DF_0 Tpackage[C] 24.44, D6F-PH0025AD1_0 q[Pa] 0.00, D6F-PH0025AD1_0 Tpackage[C] 23.70, D6F-PH0025AD1_1 q[Pa] 0.00, D6F-PH0025AD1_1 Tpackage[C] 24.90, D6F-PH0025AD1_2 q[Pa] 0.10, D6F-PH0025AD1_2 Tpackage[C] 24.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.05, GPS_0 satellites[-] 7, GPS_0 latitude[deg] 51.1805839539, GPS_0 longitude[deg] -1.0339574814, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 28, GPS_0 hours[-] 17, GPS_0 minutes[-] 8, GPS_0 seconds[-] 31, ;
System Uptime[ms] 76815,System VBATTcell0[V] 3.93,System VBATTcell1[V] 3.88,System VBATTcell2[V] 3.82,Airdata rho[kg/m3] 1.19,Airdata T[C] 17.20,Airdata AoA[deg] -24.44,Airdata AoS[deg] 32.64,Airdata VCAS[m/s] 0.17,Airdata VTAS[m/s] 0.14,BMP280_0 P[Pa] 99804.34, BMP280_0 Tpackage[C] 25.50, HTU21DF_0 RH[%] 54.08, HTU21DF_0 Tpackage[C] 24.44, D6F-PH0025AD1_0 q[Pa] 0.15, D6F-PH0025AD1_0 Tpackage[C] 23.70, D6F-PH0025AD1_1 q[Pa] 0.28, D6F-PH0025AD1_1 Tpackage[C] 24.90, D6F-PH0025AD1_2 q[Pa] 0.00, D6F-PH0025AD1_2 Tpackage[C] 24.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.05, GPS_0 satellites[-] 7, GPS_0 latitude[deg] 51.1805839539, GPS_0 longitude[deg] -1.0339590311, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 28, GPS_0 hours[-] 17, GPS_0 minutes[-] 8, GPS_0 seconds[-] 32, ;
System Uptime[ms] 77272,System VBATTcell0[V] 3.94,System VBATTcell1[V] 3.88,System VBATTcell2[V] 3.81,Airdata rho[kg/m3] 1.19,Airdata T[C] 17.19,Airdata AoA[deg] 17.36,Airdata AoS[deg] -1.04,Airdata VCAS[m/s] 0.17,Airdata VTAS[m/s] 0.20,BMP280_0 P[Pa] 99803.42, BMP280_0 Tpackage[C] 25.49, HTU21DF_0 RH[%] 53.84, HTU21DF_0 Tpackage[C] 24.45, D6F-PH0025AD1_0 q[Pa] 0.00, D6F-PH0025AD1_0 Tpackage[C] 23.70, D6F-PH0025AD1_1 q[Pa] 0.01, D6F-PH0025AD1_1 Tpackage[C] 24.90, D6F-PH0025AD1_2 q[Pa] 0.15, D6F-PH0025AD1_2 Tpackage[C] 24.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.05, GPS_0 satellites[-] 7, GPS_0 latitude[deg] 51.1805839539, GPS_0 longitude[deg] -1.0339590311, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 28, GPS_0 hours[-] 17, GPS_0 minutes[-] 8, GPS_0 seconds[-] 32, ;
