System Uptime[ms] 710551,System VBATTcell0[V] 4.07,System VBATTcell1[V] 4.00,System VBATTcell2[V] 4.03,Airdata rho[kg/m3] 1.17,Airdata T[C] 23.16,Airdata AoA[deg] 0.24,Airdata AoS[deg] -0.30,Airdata VCAS[m/s] 2.48,Airdata VTAS[m/s] 2.54,BMP280_0 P[Pa] 99906.31,BMP280_0 Tpackage[C] 31.46,HTU21DF_0 RH[%] 35.83,HTU21DF_0 Tpackage[C] 29.98,D6F-PH0025AD1_0 q[Pa] 3.60,D6F-PH0025AD1_0 Tpackage[C] 25.50,D6F-PH0025AD1_1 q[Pa] 3.64,D6F-PH0025AD1_1 Tpackage[C] 25.70,D6F-PH0025AD1_2 q[Pa] 3.80,D6F-PH0025AD1_2 Tpackage[C] 24.30,VL53L1X_0 s[m] 0.09,GPS_0 satellites[-] 9,GPS_0 latitude[deg] 51.1877899170,GPS_0 longitude[deg] -1.0213747025,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 29,GPS_0 hours[-] 7,GPS_0 minutes[-] 20,GPS_0 seconds[-] 10,GPS_0 speed[m/s] 0.03,GPS_0 course[deg] 165.2,;
System Uptime[ms] 711045,System VBATTcell0[V] 4.08,System VBATTcell1[V] 4.00,System VBATTcell2[V] 4.02,Airdata rho[kg/m3] 1.17,Airdata T[C] 23.17,Airdata AoA[deg] -1.17,Airdata AoS[deg] -1.08,Airdata VCAS[m/s] 2.48,Airdata VTAS[m/s] 2.53,BMP280_0 P[Pa] 99901.96,BMP280_0 Tpackage[C] 31.47,HTU21DF_0 RH[%] 35.67,HTU21DF_0 Tpackage[C] 29.98,D6F-PH0025AD1_0 q[Pa] 3.76,D6F-PH0025AD1_0 Tpackage[C] 25.50,D6F-PH0025AD1_1 q[Pa] 3.37,D6F-PH0025AD1_1 Tpackage[C] 25.90,D6F-PH0025AD1_2 q[Pa] 3.54,D6F-PH0025AD1_2 Tpackage[C] 24.00,VL53L1X_0 s[m] 0.09,GPS_0 satellites[-] 9,GPS_0 latitude[deg] 51.1877899170,GPS_0 longitude[deg] -1.0213744640,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 29,GPS_0 hours[-] 7,GPS_0 minutes[-] 20,GPS_0 seconds[-] 11,GPS_0 speed[m/s] 0.02,GPS_0 course[deg] 165.2,;
System Uptime[ms] 711501,System VBATTcell0[V] 4.07,System VBATTcell1[V] 4.00,System VBATTcell2[V] 4.03,Airdata rho[kg/m3] 1.17,Airdata T[C] 23.18,Airdata AoA[deg] -6.52,Airdata AoS[deg] -4.45,Airdata VCAS[m/s] 2.42,Airdata VTAS[m/s] 2.48,BMP280_0 P[Pa] 99919.45,BMP280_0 Tpackage[C] 31.48,HTU21DF_0 RH[%] 35.87,HTU21DF_0 Tpackage[C] 30.02,D6F-PH0025AD1_0 q[Pa] 2.79,D6F-PH0025AD1_0 Tpackage[C] 25.50,D6F-PH0025AD1_1 q[Pa] 2.65,D6F-PH0025AD1_1 Tpackage[C] 25.90,D6F-PH0025AD1_2 q[Pa] 2.90,D6F-PH0025AD1_2 Tpackage[C] 24.30,VL53L1X_0 s[m] 0.09,GPS_0 satellites[-] 10,GPS_0 latitude[deg] 51.1877899170,GPS_0 longitude[deg] -1.0213744640,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 29,GPS_0 hours[-] 7,GPS_0 minutes[-] 20,GPS_0 seconds[-] 11,GPS_0 speed[m/s] 0.02,GPS_0 course[deg] 165.2,;
System Uptime[ms] 711958,System VBATTcell0[V] 4.08,System VBATTcell1[V] 4.00,System VBATTcell2[V] 4.03,Airdata rho[kg/m3] 1.17,Airdata T[C] 23.18,Airdata AoA[deg] -1.94,Airdata AoS[deg] -3.30,Airdata VCAS[m/s] 2.32,Airdata VTAS[m/s] 2.37,BMP280_0 P[Pa] 99916.58,BMP280_0 Tpackage[C] 31.48,HTU21DF_0 RH[%] 35.95,HTU21DF_0 Tpackage[C] 30.02,D6F-PH0025AD1_0 q[Pa] 3.07,D6F-PH0025AD1_0 Tpackage[C] 25.30,D6F-PH0025AD1_1 q[Pa] 2.65,D6F-PH0025AD1_1 Tpackage[C] 25.70,D6F-PH0025AD1_2 q[Pa] 3.22,D6F-PH0025AD1_2 Tpackage[C] 24.30,VL53L1X_0 s[m] 0.09,GPS_0 satellites[-] 10,GPS_0 latitude[deg] 51.1877899170,GPS_0 longitude[deg] -1.0213744640,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 29,GPS_0 hours[-] 7,GPS_0 minutes[-] 20,GPS_0 seconds[-] 11,GPS_0 speed[m/s] 0.02,GPS_0 course[deg] 165.2,;
System Uptime[ms] 712415,System VBATTcell0[V] 4.07,System VBATTcell1[V] 4.00,System VBATTcell2[V] 4.03,Airdata rho[kg/m3] 1.17,Airdata T[C] 23.18,Airdata AoA[deg] -1.35,Airdata AoS[deg] -1.75,Airdata VCAS[m/s] 2.28,Airdata VTAS[m/s] 2.33,BMP280_0 P[Pa] 99913.88,BMP280_0 Tpackage[C] 31.48,HTU21DF_0 RH[%] 35.95,HTU21DF_0 Tpackage[C] 30.02,D6F-PH0025AD1_0 q[Pa] 3.07,D6F-PH0025AD1_0 Tpackage[C] 25.50,D6F-PH0025AD1_1 q[Pa] 2.77,D6F-PH0025AD1_1 Tpackage[C] 25.70,D6F-PH0025AD1_2 q[Pa] 3.05,D6F-PH0025AD1_2 Tpackage[C] 24.30,VL53L1X_0 s[m] 0.09,GPS_0 satellites[-] 10,GPS_0 latitude[deg] 51.1877899170,GPS_0 longitude[deg] -1.0213744640,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 29,GPS_0 hours[-] 7,GPS_0 minutes[-] 20,GPS_0 seconds[-] 12,GPS_0 speed[m/s] 0.04,GPS_0 course[deg] 165.2,;
System Uptime[ms] 712872,System VBATTcell0[V] 4.08,System VBATTcell1[V] 4.00,System VBATTcell2[V] 4.03,Airdata rho[kg/m3] 1.17,Airdata T[C] 23.17,Airdata AoA[deg] -12.65,Airdata AoS[deg] -7.27,Airdata VCAS[m/s] 2.24,Airdata VTAS[m/s] 2.29,BMP280_0 P[Pa] 99916.81,BMP280_0 Tpackage[C] 31.47,HTU21DF_0 RH[%] 35.95,HTU21DF_0 Tpackage[C] 30.02,D6F-PH0025AD1_0 q[Pa] 2.43,D6F-PH0025AD1_0 Tpackage[C] 25.30,D6F-PH0025AD1_1 q[Pa] 1.90,D6F-PH0025AD1_1 Tpackage[C] 25.70,D6F-PH0025AD1_2 q[Pa] 2.05,D6F-PH0025AD1_2 Tpackage[C] 24.00,VL53L1X_0 s[m] 0.09,GPS_0 satellites[-] 10,GPS_0 latitude[deg] 51.1877899170,GPS_0 longitude[deg] -1.0213744640,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 29,GPS_0 hours[-] 7,GPS_0 minutes[-] 20,GPS_0 seconds[-] 12,GPS_0 speed[m/s] 0.04,GPS_0 course[deg] 165.2,;
System Uptime[ms] 713354,System VBATTcell0[V] 4.07,System VBATTcell1[V] 4.00,System VBATTcell2[V] 4.03,Airdata rho[kg/m3] 1.17,Airdata T[C] 23.16,Airdata AoA[deg] 2.12,Airdata AoS[deg] 0.39,Airdata VCAS[m/s] 2.16,Airdata VTAS[m/s] 2.21,BMP280_0 P[Pa] 99915.03,BMP280_0 Tpackage[C] 31.46,HTU21DF_0 RH[%] 36.06,HTU21DF_0 Tpackage[C] 30.01,D6F-PH0025AD1_0 q[Pa] 3.22,D6F-PH0025AD1_0 Tpackage[C] 25.30,D6F-PH0025AD1_1 q[Pa] 2.88,D6F-PH0025AD1_1 Tpackage[C] 25.70,D6F-PH0025AD1_2 q[Pa] 3.06,D6F-PH0025AD1_2 Tpackage[C] 24.30,VL53L1X_0 s[m] 0.09,GPS_0 satellites[-] 10,GPS_0 latitude[deg] 51.1877899170,GPS_0 longitude[deg] -1.0213743448,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 29,GPS_0 hours[-] 7,GPS_0 minutes[-] 20,GPS_0 seconds[-] 13,GPS_0 speed[m/s] 0.01,GPS_0 course[deg] 165.2,;
System Uptime[ms] 713811,System VBATTcell0[V] 4.08,System VBATTcell1[V] 4.00,System VBATTcell2[V] 4.03,Airdata rho[kg/m3] 1.17,Airdata T[C] 23.16,Airdata AoA[deg] -5.47,Airdata AoS[deg] -4.62,Airdata VCAS[m/s] 2.15,Airdata VTAS[m/s] 2.20,BMP280_0 P[Pa] 99914.75,BMP280_0 Tpackage[C] 31.46,HTU21DF_0 RH[%] 36.18,HTU21DF_0 Tpackage[C] 30.02,D6F-PH0025AD1_0 q[Pa] 2.65,D6F-PH0025AD1_0 Tpackage[C] 25.30,D6F-PH0025AD1_1 q[Pa] 2.07,D6F-PH0025AD1_1 Tpackage[C] 25.70,D6F-PH0025AD1_2 q[Pa] 2.43,D6F-PH0025AD1_2 Tpackage[C] 24.00,VL53L1X_0 s[m] 0.09,GPS_0 satellites[-] 10,GPS_0 latitude[deg] 51.1877899170,GPS_0 longitude[deg] -1.0213743448,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 29,GPS_0 hours[-] 7,GPS_0 minutes[-] 20,GPS_0 seconds[-] 13,GPS_0 speed[m/s] 0.01,GPS_0 course[deg] 165.2,;
System Uptime[ms] 714268,System VBATTcell0[V] 4.07,System VBATTcell1[V] 4.00,System VBATTcell2[V] 4.03,Airdata rho[kg/m3] 1.17,Airdata T[C] 23.18,Airdata AoA[deg] -7.80,Airdata AoS[deg] -4.80,Airdata VCAS[m/s] 2.01,Airdata VTAS[m/s] 2.06,BMP280_0 P[Pa] 99912.86,BMP280_0 Tpackage[C] 31.48,HTU21DF_0 RH[%] 36.26,HTU21DF_0 Tpackage[C] 30.03,D6F-PH0025AD1_0 q[Pa] 1.73,D6F-PH0025AD1_0 Tpackage[C] 25.30,D6F-PH0025AD1_1 q[Pa] 1.90,D6F-PH0025AD1_1 Tpackage[C] 25.90,D6F-PH0025AD1_2 q[Pa] 1.95,D6F-PH0025AD1_2 Tpackage[C] 24.30,VL53L1X_0 s[m] 0.09,GPS_0 satellites[-] 10,GPS_0 latitude[deg] 51.1877899170,GPS_0 longitude[deg] -1.0213739872,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 29,GPS_0 hours[-] 7,GPS_0 minutes[-] 20,GPS_0 seconds[-] 14,GPS_0 speed[m/s] 0.01,GPS_0 course[deg] 165.2,;
System Uptime[ms] 714725,System VBATTcell0[V] 4.08,System VBATTcell1[V] 4.00,System VBATTcell2[V] 4.03,Airdata rho[kg/m3] 1.17,Airdata T[C] 23.16,Airdata AoA[deg] -4.59,Airdata AoS[deg] -5.50,Airdata VCAS[m/s] 1.93,Airdata VTAS[m/s] 1.98,BMP280_0 P[Pa] 99913.03,BMP280_0 Tpackage[C] 31.46,HTU21DF_0 RH[%] 36.28,HTU21DF_0 Tpackage[C] 30.03,D6F-PH0025AD1_0 q[Pa] 2.27,D6F-PH0025AD1_0 Tpackage[C] 25.30,D6F-PH0025AD1_1 q[Pa] 1.58,D6F-PH0025AD1_1 Tpackage[C] 25.70,D6F-PH0025AD1_2 q[Pa] 2.11,D6F-PH0025AD1_2 Tpackage[C] 24.00,VL53L1X_0 s[m] 0.09,GPS_0 satellites[-] 10,GPS_0 latitude[deg] 51.1877899170,GPS_0 longitude[deg] -1.0213739872,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 29,GPS_0 hours[-] 7,GPS_0 minutes[-] 20,GPS_0 seconds[-] 14,GPS_0 speed[m/s] 0.01,GPS_0 course[deg] 165.2,;
