System Uptime[ms] 10376,System VBATTcell0[V] 4.05,System VBATTcell1[V] 4.00,System VBATTcell2[V] 3.95,Airdata rho[kg/m3] 1.20,Airdata T[C] 14.67,Airdata AoA[deg] 7.34,Airdata AoS[deg] -3.72,Airdata VCAS[m/s] 2.02,Airdata VTAS[m/s] 2.03,BMP280_0 P[Pa] 99995.13,BMP280_0 Tpackage[C] 22.97,HTU21DF_0 RH[%] 72.85,HTU21DF_0 Tpackage[C] 21.22,D6F-PH0025AD1_0 q[Pa] 2.36,D6F-PH0025AD1_0 Tpackage[C] 16.50,D6F-PH0025AD1_1 q[Pa] 1.96,D6F-PH0025AD1_1 Tpackage[C] 16.90,D6F-PH0025AD1_2 q[Pa] 3.49,D6F-PH0025AD1_2 Tpackage[C] 16.70,VL53L1X_0 s[m] 0.08,GPS_0 satellites[-] -1,GPS_0 latitude[deg] 51.1875495911,GPS_0 longitude[deg] -1.0336070061,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 30,GPS_0 hours[-] 5,GPS_0 minutes[-] 32,GPS_0 seconds[-] 53,GPS_0 speed[m/s] 0.05,GPS_0 course[deg] 0.0,;
System Uptime[ms] 10876,System VBATTcell0[V] 4.04,System VBATTcell1[V] 4.01,System VBATTcell2[V] 3.95,Airdata rho[kg/m3] 1.20,Airdata T[C] 14.68,Airdata AoA[deg] 14.15,Airdata AoS[deg] 6.71,Airdata VCAS[m/s] 2.10,Airdata VTAS[m/s] 2.12,BMP280_0 P[Pa] 99993.92,BMP280_0 Tpackage[C] 22.98,HTU21DF_0 RH[%] 71.77,HTU21DF_0 Tpackage[C] 21.22,D6F-PH0025AD1_0 q[Pa] 2.36,D6F-PH0025AD1_0 Tpackage[C] 16.30,D6F-PH0025AD1_1 q[Pa] 3.40,D6F-PH0025AD1_1 Tpackage[C] 17.10,D6F-PH0025AD1_2 q[Pa] 3.84,D6F-PH0025AD1_2 Tpackage[C] 16.70,VL53L1X_0 s[m] 0.08,GPS_0 satellites[-] -1,GPS_0 latitude[deg] 51.1875457764,GPS_0 longitude[deg] -1.0335983038,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 30,GPS_0 hours[-] 5,GPS_0 minutes[-] 32,GPS_0 seconds[-] 54,GPS_0 speed[m/s] 0.04,GPS_0 course[deg] 0.0,;
System Uptime[ms] 11333,System VBATTcell0[V] 4.04,System VBATTcell1[V] 4.00,System VBATTcell2[V] 3.94,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.69,Airdata AoA[deg] 18.82,Airdata AoS[deg] -1.32,Airdata VCAS[m/s] 2.31,Airdata VTAS[m/s] 2.33,BMP280_0 P[Pa] 99996.05,BMP280_0 Tpackage[C] 22.99,HTU21DF_0 RH[%] 70.74,HTU21DF_0 Tpackage[C] 21.21,D6F-PH0025AD1_0 q[Pa] 2.91,D6F-PH0025AD1_0 Tpackage[C] 16.50,D6F-PH0025AD1_1 q[Pa] 2.99,D6F-PH0025AD1_1 Tpackage[C] 16.90,D6F-PH0025AD1_2 q[Pa] 5.21,D6F-PH0025AD1_2 Tpackage[C] 16.90,VL53L1X_0 s[m] 0.08,GPS_0 satellites[-] -1,GPS_0 latitude[deg] 51.1875457764,GPS_0 longitude[deg] -1.0335983038,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 30,GPS_0 hours[-] 5,GPS_0 minutes[-] 32,GPS_0 seconds[-] 54,GPS_0 speed[m/s] 0.04,GPS_0 course[deg] 0.0,;
System Uptime[ms] 11790,System VBATTcell0[V] 4.04,System VBATTcell1[V] 4.00,System VBATTcell2[V] 3.96,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.69,Airdata AoA[deg] 3.25,Airdata AoS[deg] -0.23,Airdata VCAS[m/s] 2.38,Airdata VTAS[m/s] 2.40,BMP280_0 P[Pa] 99995.72,BMP280_0 Tpackage[C] 22.99,HTU21DF_0 RH[%] 69.29,HTU21DF_0 Tpackage[C] 21.21,D6F-PH0025AD1_0 q[Pa] 3.36,D6F-PH0025AD1_0 Tpackage[C] 16.30,D6F-PH0025AD1_1 q[Pa] 3.40,D6F-PH0025AD1_1 Tpackage[C] 16.90,D6F-PH0025AD1_2 q[Pa] 3.90,D6F-PH0025AD1_2 Tpackage[C] 16.70,VL53L1X_0 s[m] 0.08,GPS_0 satellites[-] -1,GPS_0 latitude[deg] 51.1875457764,GPS_0 longitude[deg] -1.0335968733,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 30,GPS_0 hours[-] 5,GPS_0 minutes[-] 32,GPS_0 seconds[-] 55,GPS_0 speed[m/s] 0.03,GPS_0 course[deg] 0.0,;
System Uptime[ms] 12246,System VBATTcell0[V] 4.04,System VBATTcell1[V] 4.00,System VBATTcell2[V] 3.95,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.69,Airdata AoA[deg] 6.55,Airdata AoS[deg] -2.75,Airdata VCAS[m/s] 2.38,Airdata VTAS[m/s] 2.40,BMP280_0 P[Pa] 99991.02,BMP280_0 Tpackage[C] 22.99,HTU21DF_0 RH[%] 68.09,HTU21DF_0 Tpackage[C] 21.23,D6F-PH0025AD1_0 q[Pa] 2.91,D6F-PH0025AD1_0 Tpackage[C] 16.30,D6F-PH0025AD1_1 q[Pa] 3.04,D6F-PH0025AD1_1 Tpackage[C] 17.10,D6F-PH0025AD1_2 q[Pa] 4.40,D6F-PH0025AD1_2 Tpackage[C] 16.70,VL53L1X_0 s[m] 0.08,GPS_0 satellites[-] -1,GPS_0 latitude[deg] 51.1875457764,GPS_0 longitude[deg] -1.0335968733,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 30,GPS_0 hours[-] 5,GPS_0 minutes[-] 32,GPS_0 seconds[-] 55,GPS_0 speed[m/s] 0.03,GPS_0 course[deg] 0.0,;
System Uptime[ms] 12703,System VBATTcell0[V] 4.04,System VBATTcell1[V] 4.01,System VBATTcell2[V] 3.95,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.70,Airdata AoA[deg] -12.11,Airdata AoS[deg] -6.93,Airdata VCAS[m/s] 2.29,Airdata VTAS[m/s] 2.31,BMP280_0 P[Pa] 99995.33,BMP280_0 Tpackage[C] 23.00,HTU21DF_0 RH[%] 67.22,HTU21DF_0 Tpackage[C] 21.24,D6F-PH0025AD1_0 q[Pa] 2.41,D6F-PH0025AD1_0 Tpackage[C] 16.50,D6F-PH0025AD1_1 q[Pa] 2.38,D6F-PH0025AD1_1 Tpackage[C] 17.10,D6F-PH0025AD1_2 q[Pa] 2.37,D6F-PH0025AD1_2 Tpackage[C] 16.70,VL53L1X_0 s[m] 0.08,GPS_0 satellites[-] -1,GPS_0 latitude[deg] 51.1875457764,GPS_0 longitude[deg] -1.0335948467,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 30,GPS_0 hours[-] 5,GPS_0 minutes[-] 32,GPS_0 seconds[-] 56,GPS_0 speed[m/s] 0.04,GPS_0 course[deg] 0.0,;
System Uptime[ms] 13185,System VBATTcell0[V] 4.03,System VBATTcell1[V] 4.00,System VBATTcell2[V] 3.96,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.69,Airdata AoA[deg] -6.29,Airdata AoS[deg] -8.37,Airdata VCAS[m/s] 2.12,Airdata VTAS[m/s] 2.13,BMP280_0 P[Pa] 99995.76,BMP280_0 Tpackage[C] 22.99,HTU21DF_0 RH[%] 66.66,HTU21DF_0 Tpackage[C] 21.25,D6F-PH0025AD1_0 q[Pa] 2.46,D6F-PH0025AD1_0 Tpackage[C] 16.50,D6F-PH0025AD1_1 q[Pa] 1.76,D6F-PH0025AD1_1 Tpackage[C] 17.10,D6F-PH0025AD1_2 q[Pa] 2.58,D6F-PH0025AD1_2 Tpackage[C] 16.90,VL53L1X_0 s[m] 0.08,GPS_0 satellites[-] -1,GPS_0 latitude[deg] 51.1875457764,GPS_0 longitude[deg] -1.0335948467,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 30,GPS_0 hours[-] 5,GPS_0 minutes[-] 32,GPS_0 seconds[-] 56,GPS_0 speed[m/s] 0.04,GPS_0 course[deg] 0.0,;
System Uptime[ms] 13642,System VBATTcell0[V] 4.04,System VBATTcell1[V] 4.00,System VBATTcell2[V] 3.96,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.70,Airdata AoA[deg] 6.96,Airdata AoS[deg] -4.01,Airdata VCAS[m/s] 2.09,Airdata VTAS[m/s] 2.11,BMP280_0 P[Pa] 99991.16,BMP280_0 Tpackage[C] 23.00,HTU21DF_0 RH[%] 66.20,HTU21DF_0 Tpackage[C] 21.25,D6F-PH0025AD1_0 q[Pa] 2.76,D6F-PH0025AD1_0 Tpackage[C] 16.50,D6F-PH0025AD1_1 q[Pa] 2.17,D6F-PH0025AD1_1 Tpackage[C] 17.10,D6F-PH0025AD1_2 q[Pa] 3.54,D6F-PH0025AD1_2 Tpackage[C] 16.70,VL53L1X_0 s[m] 0.08,GPS_0 satellites[-] -1,GPS_0 latitude[deg] 51.1875457764,GPS_0 longitude[deg] -1.0335948467,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 30,GPS_0 hours[-] 5,GPS_0 minutes[-] 32,GPS_0 seconds[-] 57,GPS_0 speed[m/s] 0.04,GPS_0 course[deg] 0.0,;
System Uptime[ms] 14099,System VBATTcell0[V] 4.04,System VBATTcell1[V] 4.00,System VBATTcell2[V] 3.96,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.69,Airdata AoA[deg] 6.33,Airdata AoS[deg] -0.96,Airdata VCAS[m/s] 2.11,Airdata VTAS[m/s] 2.12,BMP280_0 P[Pa] 99994.92,BMP280_0 Tpackage[C] 22.99,HTU21DF_0 RH[%] 65.72,HTU21DF_0 Tpackage[C] 21.27,D6F-PH0025AD1_0 q[Pa] 2.41,D6F-PH0025AD1_0 Tpackage[C] 16.50,D6F-PH0025AD1_1 q[Pa] 2.58,D6F-PH0025AD1_1 Tpackage[C] 17.10,D6F-PH0025AD1_2 q[Pa] 3.44,D6F-PH0025AD1_2 Tpackage[C] 16.70,VL53L1X_0 s[m] 0.08,GPS_0 satellites[-] -1,GPS_0 latitude[deg] 51.1875457764,GPS_0 longitude[deg] -1.0335948467,GPS_0 year[-] -1,GPS_0 month[-] -1,GPS_0 day[-] -1,GPS_0 hours[-] 5,GPS_0 minutes[-] 32,GPS_0 seconds[-] 57,GPS_0 speed[m/s] 0.04,GPS_0 course[deg] 0.0,;
System Uptime[ms] 14556,System VBATTcell0[V] 4.04,System VBATTcell1[V] 4.01,System VBATTcell2[V] 3.95,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.69,Airdata AoA[deg] 4.12,Airdata AoS[deg] -0.28,Airdata VCAS[m/s] 2.21,Airdata VTAS[m/s] 2.23,BMP280_0 P[Pa] 99994.34,BMP280_0 Tpackage[C] 22.99,HTU21DF_0 RH[%] 65.33,HTU21DF_0 Tpackage[C] 21.25,D6F-PH0025AD1_0 q[Pa] 3.47,D6F-PH0025AD1_0 Tpackage[C] 16.50,D6F-PH0025AD1_1 q[Pa] 2.94,D6F-PH0025AD1_1 Tpackage[C] 17.10,D6F-PH0025AD1_2 q[Pa] 3.49,D6F-PH0025AD1_2 Tpackage[C] 16.90,VL53L1X_0 s[m] 0.08,GPS_0 satellites[-] -1,GPS_0 latitude[deg] 51.1875457764,GPS_0 longitude[deg] -1.0335949659,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 30,GPS_0 hours[-] 5,GPS_0 minutes[-] 32,GPS_0 seconds[-] 58,GPS_0 speed[m/s] 0.02,GPS_0 course[deg] 0.0,;
