System Uptime[ms] 9036,System VBATTcell0[V] 4.04,System VBATTcell1[V] 4.01,System VBATTcell2[V] 3.95,Airdata rho[kg/m3] 1.23,Airdata T[C] 10.01,Airdata AoA[deg] 4.85,Airdata AoS[deg] -8.87,Airdata VCAS[m/s] 1.26,Airdata VTAS[m/s] 1.26,BMP280_0 P[Pa] 100003.66,BMP280_0 Tpackage[C] 18.31,HTU21DF_0 RH[%] 92.43,HTU21DF_0 Tpackage[C] 16.75,D6F-PH0025AD1_0 q[Pa] 0.85,D6F-PH0025AD1_0 Tpackage[C] 15.70,D6F-PH0025AD1_1 q[Pa] 0.52,D6F-PH0025AD1_1 Tpackage[C] 16.10,D6F-PH0025AD1_2 q[Pa] 1.41,D6F-PH0025AD1_2 Tpackage[C] 16.30,VL53L1X_0 s[m] 0.08,GPS_0 satellites[-] -1,GPS_0 latitude[deg] 51.1875076294,GPS_0 longitude[deg] -1.0340263844,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 30,GPS_0 hours[-] 5,GPS_0 minutes[-] 45,GPS_0 seconds[-] 0,GPS_0 speed[m/s] 0.04,GPS_0 course[deg] 251.3,;
System Uptime[ms] 9536,System VBATTcell0[V] 4.04,System VBATTcell1[V] 4.00,System VBATTcell2[V] 3.95,Airdata rho[kg/m3] 1.23,Airdata T[C] 10.03,Airdata AoA[deg] 14.54,Airdata AoS[deg] -1.68,Airdata VCAS[m/s] 1.38,Airdata VTAS[m/s] 1.38,BMP280_0 P[Pa] 100007.17,BMP280_0 Tpackage[C] 18.33,HTU21DF_0 RH[%] 92.92,HTU21DF_0 Tpackage[C] 16.76,D6F-PH0025AD1_0 q[Pa] 1.50,D6F-PH0025AD1_0 Tpackage[C] 15.70,D6F-PH0025AD1_1 q[Pa] 1.04,D6F-PH0025AD1_1 Tpackage[C] 16.10,D6F-PH0025AD1_2 q[Pa] 1.92,D6F-PH0025AD1_2 Tpackage[C] 16.30,VL53L1X_0 s[m] 0.08,GPS_0 satellites[-] -1,GPS_0 latitude[deg] 51.1875076294,GPS_0 longitude[deg] -1.0340263844,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 30,GPS_0 hours[-] 5,GPS_0 minutes[-] 45,GPS_0 seconds[-] 0,GPS_0 speed[m/s] 0.04,GPS_0 course[deg] 251.3,;
System Uptime[ms] 9993,System VBATTcell0[V] 4.04,System VBATTcell1[V] 4.01,System VBATTcell2[V] 3.95,Airdata rho[kg/m3] 1.23,Airdata T[C] 10.03,Airdata AoA[deg] 14.03,Airdata AoS[deg] -2.63,Airdata VCAS[m/s] 1.49,Airdata VTAS[m/s] 1.49,BMP280_0 P[Pa] 100003.05,BMP280_0 Tpackage[C] 18.33,HTU21DF_0 RH[%] 93.14,HTU21DF_0 Tpackage[C] 16.77,D6F-PH0025AD1_0 q[Pa] 1.40,D6F-PH0025AD1_0 Tpackage[C] 15.70,D6F-PH0025AD1_1 q[Pa] 1.14,D6F-PH0025AD1_1 Tpackage[C] 16.30,D6F-PH0025AD1_2 q[Pa] 2.27,D6F-PH0025AD1_2 Tpackage[C] 16.30,VL53L1X_0 s[m] 0.08,GPS_0 satellites[-] -1,GPS_0 latitude[deg] 51.1875076294,GPS_0 longitude[deg] -1.0340255499,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 30,GPS_0 hours[-] 5,GPS_0 minutes[-] 45,GPS_0 seconds[-] 1,GPS_0 speed[m/s] 0.03,GPS_0 course[deg] 251.3,;
System Uptime[ms] 10450,System VBATTcell0[V] 4.04,System VBATTcell1[V] 4.00,System VBATTcell2[V] 3.95,Airdata rho[kg/m3] 1.23,Airdata T[C] 10.02,Airdata AoA[deg] 6.22,Airdata AoS[deg] -8.22,Airdata VCAS[m/s] 1.54,Airdata VTAS[m/s] 1.55,BMP280_0 P[Pa] 100005.14,BMP280_0 Tpackage[C] 18.32,HTU21DF_0 RH[%] 93.18,HTU21DF_0 Tpackage[C] 16.77,D6F-PH0025AD1_0 q[Pa] 1.35,D6F-PH0025AD1_0 Tpackage[C] 15.70,D6F-PH0025AD1_1 q[Pa] 0.84,D6F-PH0025AD1_1 Tpackage[C] 16.30,D6F-PH0025AD1_2 q[Pa] 2.12,D6F-PH0025AD1_2 Tpackage[C] 16.30,VL53L1X_0 s[m] 0.08,GPS_0 satellites[-] -1,GPS_0 latitude[deg] 51.1875076294,GPS_0 longitude[deg] -1.0340255499,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 30,GPS_0 hours[-] 5,GPS_0 minutes[-] 45,GPS_0 seconds[-] 1,GPS_0 speed[m/s] 0.03,GPS_0 course[deg] 251.3,;
System Uptime[ms] 10907,System VBATTcell0[V] 4.04,System VBATTcell1[V] 4.01,System VBATTcell2[V] 3.95,Airdata rho[kg/m3] 1.23,Airdata T[C] 10.03,Airdata AoA[deg] 1.96,Airdata AoS[deg] -12.40,Airdata VCAS[m/s] 1.56,Airdata VTAS[m/s] 1.56,BMP280_0 P[Pa] 100005.25,BMP280_0 Tpackage[C] 18.33,HTU21DF_0 RH[%] 93.07,HTU21DF_0 Tpackage[C] 16.78,D6F-PH0025AD1_0 q[Pa] 1.30,D6F-PH0025AD1_0 Tpackage[C] 15.70,D6F-PH0025AD1_1 q[Pa] 0.62,D6F-PH0025AD1_1 Tpackage[C] 16.30,D6F-PH0025AD1_2 q[Pa] 2.07,D6F-PH0025AD1_2 Tpackage[C] 16.30,VL53L1X_0 s[m] 0.08,GPS_0 satellites[-] -1,GPS_0 latitude[deg] 51.1875076294,GPS_0 longitude[deg] -1.0340230465,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 30,GPS_0 hours[-] 5,GPS_0 minutes[-] 45,GPS_0 seconds[-] 2,GPS_0 speed[m/s] 0.01,GPS_0 course[deg] 251.3,;
System Uptime[ms] 11364,System VBATTcell0[V] 4.04,System VBATTcell1[V] 4.01,System VBATTcell2[V] 3.95,Airdata rho[kg/m3] 1.23,Airdata T[C] 10.03,Airdata AoA[deg] 6.98,Airdata AoS[deg] -6.62,Airdata VCAS[m/s] 1.60,Airdata VTAS[m/s] 1.60,BMP280_0 P[Pa] 100004.64,BMP280_0 Tpackage[C] 18.33,HTU21DF_0 RH[%] 92.90,HTU21DF_0 Tpackage[C] 16.78,D6F-PH0025AD1_0 q[Pa] 1.75,D6F-PH0025AD1_0 Tpackage[C] 15.70,D6F-PH0025AD1_1 q[Pa] 1.09,D6F-PH0025AD1_1 Tpackage[C] 16.30,D6F-PH0025AD1_2 q[Pa] 2.17,D6F-PH0025AD1_2 Tpackage[C] 16.50,VL53L1X_0 s[m] 0.08,GPS_0 satellites[-] -1,GPS_0 latitude[deg] 51.1875076294,GPS_0 longitude[deg] -1.0340230465,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 30,GPS_0 hours[-] 5,GPS_0 minutes[-] 45,GPS_0 seconds[-] 2,GPS_0 speed[m/s] 0.01,GPS_0 course[deg] 251.3,;
System Uptime[ms] 11846,System VBATTcell0[V] 4.04,System VBATTcell1[V] 4.01,System VBATTcell2[V] 3.95,Airdata rho[kg/m3] 1.23,Airdata T[C] 10.04,Airdata AoA[deg] 9.36,Airdata AoS[deg] -10.37,Airdata VCAS[m/s] 1.65,Airdata VTAS[m/s] 1.65,BMP280_0 P[Pa] 100005.68,BMP280_0 Tpackage[C] 18.34,HTU21DF_0 RH[%] 92.64,HTU21DF_0 Tpackage[C] 16.81,D6F-PH0025AD1_0 q[Pa] 1.50,D6F-PH0025AD1_0 Tpackage[C] 15.70,D6F-PH0025AD1_1 q[Pa] 0.89,D6F-PH0025AD1_1 Tpackage[C] 16.30,D6F-PH0025AD1_2 q[Pa] 2.57,D6F-PH0025AD1_2 Tpackage[C] 16.30,VL53L1X_0 s[m] 0.08,GPS_0 satellites[-] -1,GPS_0 latitude[deg] 51.1875076294,GPS_0 longitude[deg] -1.0340218544,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 30,GPS_0 hours[-] 5,GPS_0 minutes[-] 45,GPS_0 seconds[-] 3,GPS_0 speed[m/s] 0.03,GPS_0 course[deg] 251.3,;
System Uptime[ms] 12303,System VBATTcell0[V] 4.04,System VBATTcell1[V] 4.00,System VBATTcell2[V] 3.95,Airdata rho[kg/m3] 1.23,Airdata T[C] 10.04,Airdata AoA[deg] 2.67,Airdata AoS[deg] -4.17,Airdata VCAS[m/s] 1.73,Airdata VTAS[m/s] 1.73,BMP280_0 P[Pa] 100006.34,BMP280_0 Tpackage[C] 18.34,HTU21DF_0 RH[%] 92.34,HTU21DF_0 Tpackage[C] 16.82,D6F-PH0025AD1_0 q[Pa] 2.20,D6F-PH0025AD1_0 Tpackage[C] 15.70,D6F-PH0025AD1_1 q[Pa] 1.49,D6F-PH0025AD1_1 Tpackage[C] 16.30,D6F-PH0025AD1_2 q[Pa] 2.12,D6F-PH0025AD1_2 Tpackage[C] 16.30,VL53L1X_0 s[m] 0.08,GPS_0 satellites[-] -1,GPS_0 latitude[deg] 51.1875076294,GPS_0 longitude[deg] -1.0340218544,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 30,GPS_0 hours[-] 5,GPS_0 minutes[-] 45,GPS_0 seconds[-] 3,GPS_0 speed[m/s] 0.03,GPS_0 course[deg] 251.3,;
System Uptime[ms] 12759,System VBATTcell0[V] 4.04,System VBATTcell1[V] 4.01,System VBATTcell2[V] 3.95,Airdata rho[kg/m3] 1.23,Airdata T[C] 10.05,Airdata AoA[deg] 15.72,Airdata AoS[deg] 7.01,Airdata VCAS[m/s] 1.92,Airdata VTAS[m/s] 1.91,BMP280_0 P[Pa] 100005.48,BMP280_0 Tpackage[C] 18.35,HTU21DF_0 RH[%] 92.00,HTU21DF_0 Tpackage[C] 16.84,D6F-PH0025AD1_0 q[Pa] 2.55,D6F-PH0025AD1_0 Tpackage[C] 15.70,D6F-PH0025AD1_1 q[Pa] 2.77,D6F-PH0025AD1_1 Tpackage[C] 16.50,D6F-PH0025AD1_2 q[Pa] 3.23,D6F-PH0025AD1_2 Tpackage[C] 16.30,VL53L1X_0 s[m] 0.08,GPS_0 satellites[-] 11,GPS_0 latitude[deg] 51.1875076294,GPS_0 longitude[deg] -1.0340223312,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 30,GPS_0 hours[-] 5,GPS_0 minutes[-] 45,GPS_0 seconds[-] 4,GPS_0 speed[m/s] 0.03,GPS_0 course[deg] 251.3,;
System Uptime[ms] 13216,System VBATTcell0[V] 4.04,System VBATTcell1[V] 4.00,System VBATTcell2[V] 3.96,Airdata rho[kg/m3] 1.23,Airdata T[C] 10.06,Airdata AoA[deg] 3.62,Airdata AoS[deg] -3.54,Airdata VCAS[m/s] 2.01,Airdata VTAS[m/s] 2.01,BMP280_0 P[Pa] 100006.83,BMP280_0 Tpackage[C] 18.36,HTU21DF_0 RH[%] 91.60,HTU21DF_0 Tpackage[C] 16.85,D6F-PH0025AD1_0 q[Pa] 2.35,D6F-PH0025AD1_0 Tpackage[C] 15.90,D6F-PH0025AD1_1 q[Pa] 2.06,D6F-PH0025AD1_1 Tpackage[C] 16.50,D6F-PH0025AD1_2 q[Pa] 2.93,D6F-PH0025AD1_2 Tpackage[C] 16.30,VL53L1X_0 s[m] 0.08,GPS_0 satellites[-] 11,GPS_0 latitude[deg] 51.1875076294,GPS_0 longitude[deg] -1.0340223312,GPS_0 year[-] -1,GPS_0 month[-] -1,GPS_0 day[-] -1,GPS_0 hours[-] 5,GPS_0 minutes[-] 45,GPS_0 seconds[-] 4,GPS_0 speed[m/s] 0.03,GPS_0 course[deg] 251.3,;
System Uptime[ms] 13673,System VBATTcell0[V] 4.04,System VBATTcell1[V] 4.00,System VBATTcell2[V] 3.96,Airdata rho[kg/m3] 1.23,Airdata T[C] 10.07,Airdata AoA[deg] 2.12,Airdata AoS[deg] -1.70,Airdata VCAS[m/s] 2.01,Airdata VTAS[m/s] 2.01,BMP280_0 P[Pa] 100007.20,BMP280_0 Tpackage[C] 18.37,HTU21DF_0 RH[%] 90.94,HTU21DF_0 Tpackage[C] 16.87,D6F-PH0025AD1_0 q[Pa] 2.35,D6F-PH0025AD1_0 Tpackage[C] 15.70,D6F-PH0025AD1_1 q[Pa] 2.22,D6F-PH0025AD1_1 Tpackage[C] 16.50,D6F-PH0025AD1_2 q[Pa] 2.78,D6F-PH0025AD1_2 Tpackage[C] 16.30,VL53L1X_0 s[m] 0.08,GPS_0 satellites[-] 11,GPS_0 latitude[deg] 51.1875114441,GPS_0 longitude[deg] -1.0340232849,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 30,GPS_0 hours[-] 5,GPS_0 minutes[-] 45,GPS_0 seconds[-] 5,GPS_0 speed[m/s] 0.00,GPS_0 course[deg] 251.3,;
